domain,intervention,verdict_class,verdict_detail,best_evidence,evidence_base,population,outcome,key_result,direction,certainty,unmet_need,caveat,pmid,doi
Modern — experimental,Autologous haematopoietic stem cell transplantation,Works — abandoned anyway,"Historical signal, superseded",Observational cohort,76 pts,Severe refractory RA,ACR50 at any point post-transplant,49/76 (67%) achieved at least ACR50 at some point after transplant,benefit,not stated,UN1,"Relapse common and procedural mortality non-trivial; largely abandoned in RA once biologics arrived, without a head-to-head comparison",14994391,10.1002/art.20128
Modern — experimental,Umbilical-cord mesenchymal stem cells + DMARDs,Uncertain,Uncertain — no control group,Uncontrolled phase I/II,"64 pts, 3-yr follow-up",RA,"DAS28, HAQ, ESR/CRP/RF at 1 and 3 yr",DAS28 and HAQ lower at 1 and 3 yr vs pretreatment (P<0.05); no laboratory abnormalities,benefit,not stated,UN1,Single-arm; regression to the mean and concomitant DMARDs cannot be separated from the cell effect. Pooled MSC safety across autoimmune indications: AE RR 2.35 (0.58-9.58),31908418,10.2147/DDDT.S225613
Modern — experimental,Regulatory T-cell adoptive transfer; low-dose IL-2,Poorly studied,Poorly studied,Narrative reviews only,No RA-specific controlled trial retrieved,RA,—,No controlled RA efficacy data identified in this search,not assessed,not stated,"UN1,UN3",Tolerance-restoring approaches are the most direct route to drug-free remission (UN3) and have the thinnest RA clinical evidence base of any modern strategy reviewed,40740779,10.1016/j.smim.2025.101915
Historical,Auranofin (oral gold),Works — abandoned anyway,"Works, superseded",Cochrane review,Multiple RCTs vs placebo,RA,Tender joint score,"SMD -0.39 (95% CI -0.54 to -0.25); swollen joints -0.08 (-0.22 to -0.07); benefit also on pain, global assessments, ESR",benefit,not stated,UN1,"Genuinely active but slower and weaker than MTX with more toxicity; discontinued on comparative grounds, not on absence of effect",10796461,10.1002/14651858.CD002048
Historical,D-penicillamine,Works — abandoned anyway,"Works, superseded (toxicity)",Cochrane review,"6 RCTs, 425 pts",RA,Tender joint counts (moderate doses),SMD -0.51 (95% CI -0.88 to -0.14),benefit,not stated,UN1,"Abandoned for proteinuria, cytopenias and drug-induced autoimmunity rather than lack of efficacy",10796440,10.1002/14651858.CD001460
Historical,Oral cyclophosphamide,Harm outweighs benefit,"Works, unacceptable toxicity",Cochrane review,70 pts across 2 trials,RA,Tender and swollen joint counts,SMD -0.57 and -0.59,benefit,not stated,UN1,Efficacy real; malignancy and gonadal toxicity make it indefensible in RA now. Cited here as a negative-by-harm precedent,10796419,10.1002/14651858.CD001157
Historical,Ciclosporin,Harm outweighs benefit,Harm-limited,Systematic review,17 trials,RA,Blood pressure; renal function,Mean BP +5 mmHg at 1-4 mg/kg/d; larger increases above 10 mg/kg/d,harm,'highly statistically significant',UN6,Illustrates a class of effective agents constrained entirely by organ toxicity rather than by efficacy,20091657,10.1016/j.semarthrit.2009.10.001
Historical,Staphylococcal protein A immunoadsorption (Prosorba column),Works — abandoned anyway,"Positive vs sham, abandoned",Sham-controlled RCT,"99 pts randomised, mean 15.4 yr disease, >5 prior DMARDs",Refractory RA,ACR improvement at wk 19-20,"ITT 28.9% (15/52) column vs 10.6% (5/47) sham, p=0.005; completers 41.7% vs 15.6%",benefit,not stated,UN1,A genuinely sham-controlled positive result in refractory RA that was dropped for practicality/cost as biologics arrived. Arguably the clearest 'abandoned despite positive evidence' case found,11111818,10.1046/j.1526-0968.2000.004005363.x
Historical,Total lymphoid irradiation,Harm outweighs benefit,Failed — long-term harm,RCT with 10-yr follow-up,19 pts,Refractory RA,Mortality; malignancy,7/10 TLI-treated died by 10 yr vs 2/9 chemotherapy; 3 TLI patients developed B-cell malignancies vs 0 controls,harm,not stated,UN1,"Short-term trials had shown symptomatic benefit. The definitive lesson is about follow-up duration, not about lymphoid targeting",9082928,10.1002/art.1780400306
Historical,Radiation synovectomy (Yttrium-90),Conflicting,Conflicting — likely no benefit,Conflicting meta-analysis vs RCT,21 studies (meta) vs 97-pt RCT,Persistent knee synovitis,Joint response at 6 mo,Meta-analysis OR 4 (95% CI 1.2 to 14) favouring RSO of the knee; the RCT found response 48% in both arms; an earlier review found neither included study favoured yttrium,mixed,not stated,UN1,A clean example of pooled observational optimism contradicted by randomisation; radiographic damage progressed in 34% of the yttrium arm,19327243,10.1007/s00259-009-1073-5
Historical,Fasting followed by 1-yr vegetarian diet,Works — abandoned anyway,Positive but never replicated at scale,Single-blind RCT (Lancet),27 diet vs 26 control,RA,"Multiple joint, pain, laboratory indices at 4 wk and 1 yr","Significant improvement in tender joints, Ritchie index, swollen joints, pain, morning stiffness, grip strength, ESR, CRP, WBC and HAQ; benefits still present at 1 yr; only pain improved in controls",benefit,not stated,"UN2,UN3","Single-blind, residential intervention with an unmatched control setting; the strongest historical dietary result in RA and still the least followed up",1681264,10.1016/0140-6736(91)91770-u
Repurposed,Metformin as adjunct,Uncertain,"Promising, thin evidence base",Meta-analysis of RCTs,"4 RCTs, 350 pts",RA on csDMARDs,"CRP, DAS-28, HAQ-DI at 3 mo",CRP MD -5.55 (95% CI -7.46 to -4.52); DAS-28 MD -0.8; HAQ-DI MD -0.12,benefit,'moderate-to-high certainty',"UN1,UN6",Only 4 small RCTs; the claimed certainty grade sits uneasily with that evidence volume and should be checked against the primary trials,42351297,10.1186/s41927-026-00659-3
Repurposed,Atorvastatin as adjunct,Conflicting,Implausibly large — treat with caution,Meta-analyses,15 and 9 RCTs,RA on DMARDs,DAS28,"SMD -2.001 (95% CI -3.191 to -0.811), p=.001; second review SMD -2.46 (-3.98 to -0.95) with I2=97%",benefit,one review self-rated 'high quality',"UN1,UN6",An SMD of -2 for a lipid-lowering drug in RA is larger than that of most biologics; I2=97% heterogeneity suggests pooling artefact. Cardiovascular benefit (a separate UN6 goal) is better supported,29353098,10.1097/MJT.0000000000000509
Repurposed,"Tetracyclines (minocycline, doxycycline)",Uncertain,"Modest, unresolved",Meta-analysis,10 RCTs,RA,Tender joint count; ESR,TJC SMD -0.39 (95% CI -0.74 to -0.05),benefit,only 3 of 10 trials high quality,UN1,Conflicts with a negative IV doxycycline RCT (n=23: 1 responder vs 0). Antimicrobial vs anti-MMP mechanism never separated; the infectious-trigger hypothesis behind it remains untested,14528503,10.1002/art.11259
Repurposed,Low-dose sirolimus (rapamycin),Uncertain,Uncertain — single small trial,Small RCT,62 pts,Active RA,"DAS28, ESR, tender joints","Significant reduction in DAS28, ESR and tender joint count vs control",benefit,not stated,UN1,mTOR inhibition is mechanistically linked to Treg restoration (UN3) but has not been followed up in RA,31781682,10.1002/art.41095
Repurposed,Low-dose naltrexone,Failed,Failed for pain overall,Meta-analysis,7 RCTs,Chronic pain syndromes incl. inflammatory disease,Pain (SMD),"d = -0.11 (95% CI -0.96 to 0.74), P=0.31 overall; fibromyalgia subgroup d = -0.34 (-0.62 to -0.06); adverse events IRR 1.4 (1.12 to 1.75) vs placebo",no benefit,GRADE assessed,UN2,Widely used off-label for RA pain; no RA-specific RCT retrieved. The fibromyalgia signal is relevant because ~34% of RA patients meet fibromyalgia criteria,40540205,10.1007/s11916-025-01411-1
Repurposed,Dapsone,Works — abandoned anyway,"Abandoned, never re-tested",Old RCTs,63 pts (combination) and one placebo-controlled trial,RA,Clinical and laboratory measures,Significant improvement in 5 of 7 clinical measures and in ESR; in combination with HCQ only the combination arm improved significantly in all variables,benefit,not stated,UN1,"Positive 1980s-90s data, no modern replication, no mechanism worked out. A genuine dormant lead rather than a refuted one",7018409,10.1136/ard.40.5.442
Repurposed,Cannabis-based medicine (Sativex),Uncertain,"Single small positive trial, never followed up",RCT,"58 pts, 5 wk",RA pain,"Pain on movement/at rest, sleep quality, DAS28","Statistically significant improvements in pain on movement, pain at rest, sleep quality, DAS28 and SF-MPQ present pain; no effect on morning stiffness",benefit,authors call differences 'small and variable',UN2,"Only controlled cannabinoid trial in RA and it is 20 years old with n=58 over 5 weeks. Directly targets UN2 (pain), which is where the modern pipeline is thinnest",16282192,10.1093/rheumatology/kei183
Repurposed,Opioid analgesics,Harm outweighs benefit,"Weak benefit, clear harm",Cochrane review,"11 studies, 672 pts",RA pain,Patient global impression of change; adverse events,Superior to placebo for global impression RR 1.44 (95% CI 1.03 to 2.03) but not for withdrawals due to inadequate analgesia; adverse events OR 3.90 (2.31 to 6.56),mixed,'limited evidence',UN2,Only strong opioid studied was controlled-release morphine in a single 20-patient trial; trials were 1-6 weeks. The gap between this evidence base and real-world chronic opioid prescribing in RA is large,22071805,10.1002/14651858.CD003113.pub3
Repurposed,Helminth therapy; faecal microbiota transplantation,Poorly studied,Poorly studied,No RA trial retrieved,Reviews only,—,—,No RA-specific controlled trial identified in this search,not assessed,—,"UN5,UN7","Both follow directly from the mucosal-origins hypothesis in Phase 1; neither has an RA efficacy trial. Microbiome-modulating therapies have RCT data only for inflammatory markers, not disease activity",36564273,10.1016/j.berh.2022.101806
Supplements,Vitamin D for prevention (VITAL),Conflicting,Positive then attenuated,RCT,"25,871 participants, median 5.3 yr",General population 50+/55+,All incident confirmed autoimmune disease,"Vitamin D 2000 IU/d HR 0.78 (95% CI 0.61 to 0.99), P=0.05; omega-3 HR 0.85 (0.67 to 1.08), P=0.19",benefit,borderline,UN5,"In the 2-yr post-supplementation extension the vitamin D effect disappeared (HR 0.98, 0.83-1.17) while omega-3 became significant (HR 0.83, 0.70-0.99). Outcome is all autoimmune disease, not RA alone",35082139,10.1136/bmj-2021-066452
Supplements,Vitamin D in established RA,Conflicting,Conflicting,Conflicting meta-analyses,11 RA studies vs 27 RCTs across autoimmune disease,Established RA,DAS-28; pain,"One review: DAS-28 WMD -0.83 (95% CI -1.38 to -0.28), p<0.001, 'moderate certainty'; the other: no significant effect on pain scores in RA",mixed,moderate certainty vs contested,"UN1,UN2","Direct conflict preserved. The positive review reports DAS-28 and ESR benefit but no effect on HAQ or VAS-pain, so the disagreement may be outcome-specific rather than a true contradiction",39995929,10.1016/j.heliyon.2025.e42463
Supplements,Omega-3 fatty acids,Uncertain,"Modest, symptom-level only",Meta-analysis,"18 RCTs, 1018 pts",RA,Tender joint count; DAS28; ESR/CRP,"TJC SMD -0.59 (95% CI -0.79 to -0.39), P<0.001; ESR, CRP and DAS28 slightly decreased but not statistically significant",mixed,publication bias low,UN2,Effect on tender joints without effect on inflammatory markers or composite activity suggests an analgesic rather than disease-modifying action — which is exactly the UN2 target,38922552,10.1007/s10067-024-07040-0
Supplements,Curcumin,Uncertain,Uncertain (low-quality positive),Meta-analysis,6 publications,RA,DAS28,"MD -1.20 (95% CI -1.85 to -0.55), P=0.0003",benefit,'low quality and small quantity of RCTs',UN1,Effect size comparable to a biologic from 6 small trials — the classic pattern of small-study bias in supplement literature. Bioavailability of unformulated curcumin is very low,37325651,10.1016/j.jtcme.2023.06.003
Supplements,Probiotics / synbiotics,Uncertain,Surrogate outcomes only,Meta-analyses,12 and 28 RCTs,Autoimmune disease incl. RA,Inflammatory markers only,IL-6 pSMD -0.83 (95% CI -1.30 to -0.37); TNF-alpha -0.41; CRP SMD -0.67 (-1.00 to -0.33) with I2 80.8%,benefit,authors call for longer follow-up,UN1,No pooled effect on disease activity or joint counts. Cytokine changes are not a clinical outcome and should not be read as efficacy,41978157,10.1007/s10620-026-09312-4
Supplements,Selenium,Uncertain,Uncertain (small trials),Meta-analysis,"7 studies, 367 pts",RA,Joint pain (VAS),"MD -12.68 mm (95% CI -19.08 to -6.28), P=0.0001",benefit,not stated,UN2,Large VAS effect from small trials; selenium has a narrow therapeutic window and toxicity at higher intakes,40695138,10.1186/s12891-025-08920-5
Supplements,Vitamin E,Failed,No benefit,Meta-analysis,9 publications,RA,Sensitive and swollen joints,"Sensitive joints MD -1.66 (95% CI -6.32 to 2.99), I2 93%; swollen joints MD -0.46",no benefit,high heterogeneity,UN1,Confidence intervals cross zero on the primary joint outcomes,35468933,10.1080/07315724.2022.2062271
TCM — herbal,"Tripterygium wilfordii Hook F, monotherapy vs MTX",Works,Comparable to MTX monotherapy,International consensus guidance with GRADE,"19 RCTs, 1795 participants (3 systematic reviews)",Active RA,ACR20/50/70,"TwHF vs MTX monotherapy: ACR20 RR 1.06 (95% CI 0.90-1.26, moderate certainty); ACR50 RR 1.03 (0.80-1.34, moderate); ACR70 RR 1.12 (0.69-1.79, low)",no difference,moderate certainty,UN1,"Non-inferiority to the anchor drug, not superiority. Trials are almost entirely Chinese, mostly open-label, and TwHF preparations are not standardised",37967495,10.1016/j.jaut.2023.103148
TCM — herbal,TwHF added to methotrexate,Works,Consistent positive combination signal,GRADE guidance + independent meta-analysis,"7 RCTs (guidance) and 14 RCTs, 1446 pts (meta)",Active RA,ACR20/50/70; effective and remission rates,"MTX+TwHF vs MTX: ACR20 RR 1.44 (1.28-1.62, moderate), ACR50 RR 1.88 (1.56-2.28, moderate), ACR70 RR 2.12 (1.40-3.19, low); independent meta: remission rate RR 1.31 (1.11-1.55)",benefit,moderate certainty for ACR20/50,UN1,Efficacy correlated positively with TwHF dose and negatively with MTX dose and with trial risk of bias — the last correlation is a warning that some of the effect is bias,37967495,10.1016/j.jaut.2023.103148
TCM — herbal,TwHF safety,Conflicting,"Trial-level reassuring, toxicology concerning",Meta-analysis + toxicology review,14 RCTs (AEs) + 40 yr of reproductive toxicity studies,RA and animal models,"Infection, liver, renal AEs; reproductive endpoints","Trials: infection RR 1.37 (0.84-2.23), liver dysfunction RR 1.14 (0.71-1.85), renal damage RR 2.20 (0.50-9.72) — none significant. Toxicology: oligospermia, reduced sperm motility, testicular atrophy, infertility in men; menstrual disorder and amenorrhoea in women",mixed,—,UN6,Short trials in mostly older cohorts cannot detect gonadal toxicity. This is the central unresolved safety question for the best-evidenced TCM intervention in RA,31602902,10.19540/j.cnki.cjcmm.20190524.401
TCM — herbal,Total glucosides of paeony (TGP),Uncertain,Uncertain (low-quality positive),Systematic review,"8 RCTs, 1209 pts",Active RA on csDMARDs,ACR20/50/70; adverse effects,"Added to csDMARDs, TGP improved ACR20, ACR50 and ACR70 response rates and reduced adverse effects versus no add-on",benefit,'limited methodological quality and strength of evidence',"UN1,UN6",The reduction in adverse effects is as interesting as the efficacy claim (a possible MTX-tolerability effect) and is the less-studied of the two,28917375,10.1016/j.ctim.2017.07.010
TCM — herbal,Sinomenine vs NSAIDs,Uncertain,Uncertain — weak comparator,Systematic review / meta-analysis,"10 trials, 1185 pts",RA,Improvement rate; morning stiffness; ESR; adverse events,"More improved patients and more RF disappearance than NSAIDs (P<0.00001; P=0.008); better morning stiffness, painful joints and ESR; no difference in swollen joints, grip strength or CRP; fewer digestive but more dermatomucosal adverse events",benefit,'needs to be further verified',"UN1,UN2",NSAIDs are the wrong comparator for a disease-modifying claim; 'RF disappearance' is an unusual endpoint and should be checked in the primary trials,18683125,10.1055/s-2008-1081346
TCM — herbal,"Iguratimod (synthetic drug of TCM-adjacent origin, licensed in Japan/China)",Works,Works as add-on; not superior as monotherapy,Meta-analysis,"31 RCTs, 2776 pts",RA,ACR20/50/70; DAS28,"IGU+MTX vs MTX: ACR20 RR 1.55 (1.14-2.13), ACR50 RR 2.04 (1.57-2.65), ACR70 RR 2.19 (1.44-3.34), DAS28 WMD -1.65; adverse events no different from MTX alone",benefit,"GRADE: ACR70 high, ACR50 moderate",UN1,"A separate review of 12 trials found monotherapy no better than MTX (ACR20 OR 1.04, 0.79-1.36). Almost unknown outside East Asia despite the largest RCT base of any agent in this table's non-Western group",35115930,10.3389/fphar.2021.780154
Natural products,Dietary polyphenols (15 types),Uncertain,Heterogeneous positive,Systematic review / meta-analysis,"47 RCTs, 3852 pts",RA,"DAS28, CRP, ESR, oxidative stress markers",Improved DAS28 and reduced CRP and ESR across pooled polyphenol interventions,benefit,not stated,UN1,Pooling 15 chemically unrelated compounds makes the summary estimate hard to interpret or act on,37033930,10.1016/j.clnu.2023.03.016
TCM — acupuncture,Acupuncture vs sham (older evidence),Failed,Negative against sham,Cochrane review + CAM systematic review,"2 RCTs, 84 pts (Cochrane); 3 sham-controlled trials (CAM review)",RA,"ESR, CRP, VAS global, swollen/tender joints, DAS",Cochrane: no statistically significant difference between groups on any measured outcome. CAM review: three sham-controlled trials reported no significant difference in pain reduction,no benefit,authors: 'no good evidence of efficacy',UN2,"This is the negative evidence that must be preserved. Both reviews are limited by very small trial numbers, not by trial quality alone",16235342,10.1002/14651858.CD003788.pub2
TCM — acupuncture,Electroacupuncture / acupuncture vs conventional therapy and sham (network meta-analysis),Conflicting,Conflicts with sham-controlled evidence,Network meta-analysis,"10 RCTs, 704 participants",RA pain,VAS pain,"Electroacupuncture SMD -1.42 (95% CI -1.87 to -0.98); conventional acupuncture SMD -1.11 (-1.49 to -0.73), both vs conventional therapy and non-acupoint sham; SUCRA electroacupuncture 97.7%",benefit,CINeMA framework applied,UN2,"Authors argue same-acupoint sham underestimates the true effect and should not be used as placebo — a claim that, if wrong, would make these effect sizes inflated. The disagreement is about control validity, not about the data",41102052,10.1016/j.joim.2025.09.005
TCM — acupuncture,Acupuncture-related therapies added to DMARDs,Uncertain,Uncertain — no sham arm,Network meta-analysis,"32 RCTs, 2115 pts",RA on DMARDs,"DAS28, VAS, CRP, ESR, morning stiffness","Electroacupuncture+DMARDs best for DAS28; fire needle+DMARDs best for VAS, CRP and ESR; moxibustion+DMARDs best for RF; no acupuncture-related therapy beat DMARDs alone for morning stiffness",benefit,not stated,"UN1,UN2","All comparisons are open-label add-on versus DMARDs alone, so expectancy and attention effects are unblinded. The negative morning-stiffness result within the same analysis is informative",35320944,10.3389/fimmu.2022.829409
TCM — mind-body,Tai Chi,Uncertain,"Uncertain — large pain effect, tiny trials",Cochrane review,"7 trials, 345 participants",RA,Pain (VAS 0-10); DAS-28-ESR; function,"Pain MD -2.15 (95% CI -3.19 to -1.11), 22% absolute improvement (2 studies, 81 pts, very low-quality evidence); DAS-28-ESR reduction 0.40 (95% CI -1.10 to 0.30), inconclusive (1 study, 43 pts)",mixed,"very low quality (GRADE), downgraded for imprecision, blinding, attrition",UN2,Majority of trials at high risk of performance and detection bias; ~75% did not report random sequence generation. Pain effect is large but rests on 81 patients,31553478,10.1002/14651858.CD004849.pub2
TCM — non-herbal,Balneotherapy / spa therapy,Conflicting,Negative / uncertain,Cochrane review (2015) vs earlier reviews,"9 studies, 579 pts",RA,"Pain, tender joints",Mudpacks vs placebo: pain MD 0.50 (95% CI -0.84 to 1.84); tender joints MD -4.60 (-8.72 to -0.48),no benefit,'very low level of evidence',UN2,Earlier reviews reported 'most trials positive' with 'weak scientific evidence'; the later Cochrane update with placebo comparison did not confirm pain benefit,25862243,10.1002/14651858.CD000518.pub2
Lifestyle,Dynamic and resistance exercise,Works,Established benefit,Cochrane review + meta-analyses,"6 trials (Cochrane); 10 RCTs, 547 pts (resistance)",RA,"Aerobic capacity, muscle strength","Resistance training: isokinetic strength +23.7% (P<0.001), isometric +35.8% (P<0.001)",benefit,not stated,UN2,Benefits are on function and strength; no evidence of effect on inflammation or radiographic progression. A low-intensity resistance protocol with blood-flow restriction was null (SMD -0.01),22120463,10.1097/PHM.0b013e3182240603
Lifestyle,Physical activity for fatigue,Works,Best-evidenced fatigue intervention,Cochrane review,"24 studies, 2882 pts (6 physical-activity studies, 388 pts)",RA with fatigue,Self-reported fatigue,"Physical activity SMD -0.36 (95% CI -0.62 to -0.10) = 14.4 points lower on a 100-point scale, NNTB 7; psychosocial interventions SMD -0.24 (-0.40 to -0.07), NNTB 10",benefit,physical activity moderate quality,UN2,"The largest evidence base for RA fatigue is non-pharmacological, and the effect is small. No drug has been shown to fix fatigue independently of inflammation",23975674,10.1002/14651858.CD008322.pub2
Lifestyle,High-intensity weight-bearing exercise (RAPIT),Works,"Works for bone, not for disease activity",RCT,"309 pts, 2 yr",RA,Hip and lumbar spine BMD,Hip BMD loss smaller with RAPIT: mean decrease 1.6% (95% CI 0.8-2.5) over year 1 and 0.5% over year 2 vs usual care; no difference at lumbar spine,benefit,not stated,UN6,High-intensity exercise was long avoided in RA on joint-damage grounds; this trial is the main evidence that it is safe as well as useful,15077288,10.1002/art.20117
