section,item,statement,evidence_tier,unmet_need,reason,source,reason_class,evidence_tier_ord
know,Treatment carries measurable risk,"Serious infection vs csDMARDs: standard-dose biologics OR 1.31 (1.09-1.58), high-dose 1.90 (1.50-2.39). ORAL Surveillance: tofacitinib vs TNFi MACE HR 1.33 (0.91-1.94), cancer HR 1.48 (1.04-2.09), non-inferiority not shown",Established,UN6,—,PMID 25599825; PMID 35081280,—,
know,Synovium is heterogeneous between patients,"Single-cell atlas, 79 donors, >314,000 cells: six cell-type abundance phenotypes spanning lymphocyte-rich to lymphocyte-poor, dynamic and associated with treatment response",Established,UN4,—,PMID 37217642,—,
know,Access is grossly unequal,"COVAD-2 (n=1,997): advanced therapy use 29.6% overall; 44.0% Europe, 11.7% Asia, 5.3% Africa; 2.7% in low-HDI vs 38.8% in very-high-HDI countries",Established,—,—,COVAD-2,—,
know,Most guidance rests on low-certainty evidence,"2021 ACR guideline: 44 recommendations, 7 strong and 37 conditional. EULAR points to consider for D2T RA: strength of recommendation C-D throughout",Established,—,—,PMID 34101387,—,
know,Patients and physicians do not measure the same thing,"73 blinded RCTs, 165 comparisons, 33,956 patients: physician global SMD -0.60 vs patient global -0.50; DeltaSMD -0.09 (-0.12 to -0.05), driven by swollen joint count; pain independently associated only with patient global",Established,UN2,—,PMID 42330661,—,
works,Methotrexate anchor therapy,"Cochrane 7 RCTs, 732 pts: ACR50 RR 3.0 (1.5-6.0) at 52 wk. Remission in at most about half of patients across RCTs",Established,UN1,—,PMID 24916606,—,
works,Sulfasalazine,"Cochrane 6 RCTs, 468 pts: SMD -0.49 joints, -0.42 pain, ESR -17.6 mm; withdrawal for adverse reactions OR 3.0",Established,UN1,—,PMID 10796400,—,
works,Hydroxychloroquine,"Cochrane 4 RCTs, 300 pts: SMDs -0.33 to -0.52; weakest csDMARD for disease activity, retained for combination use and metabolic effects",Established,"UN1,UN6",—,PMID 10796401,—,
works,Triple csDMARD therapy,RACAT/TEAR: 78% vs 63% still on assigned therapy at 1 year vs MTX+etanercept,Established,"UN1,UN6",—,PMID 23992257,—,
works,Switching class after b/tsDMARD failure,"Cochrane living NMA, 19 RCTs, 4,779 pts: untried TNFi ACR50 OR 6.04 (2.49-16.3) high certainty; IL-6 inhibitors, abatacept, rituximab and JAK inhibitors also moderate-to-high certainty",Established,UN1,—,PMID 41978157,—,
works,Treat-to-target strategy,TICORA and BeSt: intensive targeted control outperforms routine care on remission and damage,Established,UN1,—,PMID 15262104,—,
works,Early treatment (association),Very early (median 3 mo) vs late early (12 mo) DMARD start: DAS28 improvement 2.8 vs 1.7 at 36 months with less radiographic progression,Probable,UN1,—,PMID 15334426,—,
works,Denosumab for erosion repair,"Erosion healing 20% vs 6% at 24 months (p=0.045), with no effect on inflammation",Probable,UN8,—,Denosumab RCT,—,
works,Physical activity for fatigue,"Cochrane 24 studies, 2,882 pts: SMD -0.36 (-0.62 to -0.10), 14.4 points on a 100-point scale, NNTB 7 — the best-evidenced fatigue intervention in RA",Established,UN2,—,PMID 37850523,—,
works,Psychosocial interventions for fatigue,"Same Cochrane review: SMD -0.24 (-0.40 to -0.07), NNTB 10",Established,UN2,—,PMID 37850523,—,
works,Resistance and dynamic exercise,"10 RCTs, 547 pts: isokinetic strength +23.7%, isometric +35.8% (both P<0.001); RAPIT high-intensity weight-bearing exercise slowed hip bone loss over 2 years",Established,"UN2,UN6",—,Exercise meta-analysis; RAPIT,—,
works,Anakinra,"Cochrane 5 RCTs, 2,876 pts: ACR20 38% vs 23%, ACR50 18% vs 7%, ACR70 7% vs 2% — works, displaced by more effective agents",Established,UN1,—,PMID 19160281,—,
works,Iguratimod added to methotrexate,"31 RCTs, 2,776 pts: ACR20 RR 1.55 (1.14-2.13), ACR50 RR 2.04, ACR70 RR 2.19 (GRADE high), DAS28 WMD -1.65, adverse events no different from MTX alone",Probable,UN1,—,Iguratimod meta-analysis,—,
works,TwHF added to methotrexate,"ACR20 RR 1.44 (1.28-1.62), ACR50 RR 1.88, ACR70 RR 2.12; independent meta-analysis remission RR 1.31 (1.11-1.55) — but efficacy correlated negatively with trial quality in the same analysis",Probable,UN1,—,TwHF consensus; TwHF meta-analysis,—,
works,TwHF monotherapy is non-inferior to methotrexate,"19 RCTs, 1,795 participants: ACR20 RR 1.06 (0.90-1.26) and ACR50 RR 1.03 (0.80-1.34), both moderate GRADE certainty",Probable,UN1,—,TwHF international consensus,—,
works,Implanted vagus nerve stimulation,"RESET-RA, 242 pts refractory to b/tsDMARDs: ACR20 35.2% vs 24.2% sham at 3 months (p=0.0209); related serious adverse events 1.6%",Probable,"UN1,UN2",—,RESET-RA,—,
works,Low-dose glucocorticoids — with quantified harm,"GLORIA, 451 pts aged 65+: DAS28 0.37 lower (p<0.0001) and damage 1.7 points lower (p=0.003); adverse events of interest 60% vs 49%, adjusted RR 1.24 (p=0.02)",Established,UN1,—,PMID 36384861,—,
doesnt_work,Acupuncture vs sham,"Cochrane 2 RCTs, 84 pts: no significant difference on ESR, CRP, VAS global, swollen or tender joints, GHQ or DAS. A CAM systematic review found no significant pain difference across 3 sham-controlled trials",Probable (contested — see Uncertain),UN2,—,Cochrane acupuncture,—,
doesnt_work,Acupuncture for morning stiffness,"Within a positive 32-RCT network meta-analysis, no acupuncture-related therapy outperformed DMARDs alone for morning stiffness",Probable,UN2,—,Acupuncture NMA,—,
doesnt_work,Low-dose naltrexone for pain,"7 RCTs in chronic pain: d = -0.11 (-0.96 to 0.74), P=0.31; adverse events IRR 1.4 (1.12-1.75). No RA-specific trial exists",Probable,UN2,—,LDN meta-analysis,—,
doesnt_work,Vitamin E,"Sensitive joints MD -1.66 (-6.32 to 2.99), I2=93% — no benefit",Probable,UN2,—,Vitamin E meta-analysis,—,
doesnt_work,Balneotherapy mudpacks vs placebo,"Cochrane 2015, 9 studies, 579 pts: pain MD 0.50 (-0.84 to 1.84) at very low level of evidence",Probable,UN2,—,Cochrane balneotherapy,—,
doesnt_work,Elemental diets,"Cochrane dietary manipulation review: no difference in pain, function or stiffness",Probable,UN2,—,Cochrane diet,—,
doesnt_work,Food-allergen elimination (on average),"94 seropositive patients, 12 weeks, double-blind: only subjective improvement overall, no difference between allergen-free and allergen-restricted diets",Probable,UN2,—,PMID 1740869,—,
doesnt_work,Smoking-cessation interventions in RA,"Cochrane: 2 studies, 57 patients, no evidence of benefit at very low certainty — despite smoking being an established causal risk factor","Unknown (untested, not disproven)",UN5,—,Cochrane smoking cessation,—,
doesnt_work,IV doxycycline,n=23: 1 responder vs 0 on placebo,Probable,UN1,—,Doxycycline RCT,—,
doesnt_work,Blood-flow-restricted low-intensity resistance training,SMD -0.01 — no effect,Probable,UN2,—,BFR meta-analysis,—,
doesnt_work,TwHF monotherapy as an improvement on methotrexate,"Non-inferior, not superior: ACR20 RR 1.06 (0.90-1.26)",Probable,UN1,—,TwHF consensus,—,
doesnt_work,Iguratimod monotherapy as an improvement on methotrexate,12 trials: ACR20 OR 1.04 (0.79-1.36),Probable,UN1,—,Iguratimod meta-analysis,—,
doesnt_work,Methotrexate + glucocorticoid to prevent RA in ACPA-positive at-risk individuals,"TREAT EARLIER: no prevention at 2 years (19% vs 18%, HR 0.81); at 5 years ACPA-positive 58% vs 65%, HR 0.7 — no effect",Established,UN5,—,TREAT EARLIER,—,
doesnt_work,Abatacept for durable prevention,APIPPRA: primary endpoint met on treatment (6% vs 29%) but 25% vs 37% progressed by 24 months; ALTO extension at median 55 months shows a 4.9-month arthritis-free survival difference that diminished,Established,UN5,—,APIPPRA; ALTO,—,
doesnt_work,Rituximab for prevention,"PRAIRI: single 1000 mg infusion delayed arthritis onset by 12 months, HR 0.45 (0.154-1.322) — delay, not prevention",Established,UN5,—,PRAIRI,—,
doesnt_work,Tapering TNF inhibitors to withdrawal,ARCTIC REWIND: flare in 27/43 (63%) vs 2/41 (5%) on stable therapy; risk difference 58% (42-74) — not non-inferior,Established,UN3,—,ARCTIC REWIND TNFi,—,
doesnt_work,p38 MAPK inhibition,Early ACR20 signal did not sustain across outcomes; no drug emerged,Established,UN1,—,p38 programme,—,
doesnt_work,Total lymphoid irradiation,"Symptomatically effective short-term; at 10 years 7/10 irradiated patients had died vs 2/9 controls, with 3 B-cell malignancies",Established,UN1,—,TLI long-term follow-up,—,
doesnt_work,Opioids as a strategy,"Cochrane 11 studies, 672 pts: global impression RR 1.44 (1.03-2.03) but adverse events OR 3.90 (2.31-6.56); only one 20-patient study of a strong opioid",Probable,UN2,—,Cochrane opioids,—,
uncertain,Acupuncture for pain,"Null vs same-acupoint sham (Cochrane) but SMD -1.11 (conventional) to -1.42 (electroacupuncture) vs conventional therapy and non-acupoint sham in a 10-RCT network meta-analysis. The dispute is about which sham is a valid control, not about the data",Uncertain (conflict preserved),UN2,—,Cochrane acupuncture; 2025 acupuncture NMA,—,
uncertain,Vitamin D in established RA,DAS-28 WMD -0.83 (-1.38 to -0.28) at self-declared moderate certainty in one meta-analysis; no significant effect on RA pain across 27 RCTs in another. May be outcome-specific rather than a true contradiction,Uncertain (conflict preserved),"UN1,UN2",—,Two vitamin D meta-analyses,—,
uncertain,Vitamin D and omega-3 for prevention,"VITAL (n=25,871): on treatment vitamin D HR 0.78 (0.61-0.99) and omega-3 HR 0.85 (0.67-1.08); two years after stopping, vitamin D HR 0.98 (0.83-1.17) and omega-3 HR 0.83 (0.70-0.99). Endpoint is all autoimmune disease, not RA","Uncertain (same trial, opposite readings)",UN5,—,VITAL; VITAL extension,—,
uncertain,Mediterranean / anti-inflammatory diet,Cochrane: Cretan Mediterranean pain MD -14.00/100 (-23.6 to -4.37) and fasting+vegetarian pain MD -1.89/10; an overview of systematic reviews concludes little or no difference at low certainty; 7-RCT pooling gives pain -9.22 mm at very low certainty,Uncertain (conflict preserved),UN2,—,Cochrane diet; SR overview,—,
uncertain,Statins as RA disease-modifying therapy,Atorvastatin add-on DAS28 SMD -2.00 (-3.19 to -0.81) across 15 RCTs; parallel review -2.46 with I2=97%. An effect larger than most biologics from a lipid-lowering drug is more plausibly a pooling artefact,Uncertain (effect size not credible as stated),UN1,—,Two statin meta-analyses,—,
uncertain,Radiation synovectomy,Meta-analysis of 21 studies OR 4 (1.2-14) for knee response at 6 months; a 97-patient RCT found 48% response in both arms,Uncertain (randomisation contradicts pooling),UN1,—,Radiosynovectomy meta-analysis; RCT,—,
uncertain,TwHF safety,"Trial-level pooling reassuring (infection RR 1.37, liver RR 1.14, renal RR 2.20, none significant) against 40 years of toxicology documenting oligospermia, testicular atrophy, amenorrhoea and infertility. Short trials in older cohorts cannot detect gonadal toxicity","Uncertain (different timescales, both real)","UN1,UN6",—,TwHF safety pooling; TwHF toxicology,—,
uncertain,Curcumin,DAS28 MD -1.20 (-1.85 to -0.55) from 6 publications the authors describe as low quality — a biologic-sized effect from six small trials,Uncertain,UN1,—,Curcumin meta-analysis,—,
uncertain,Omega-3 in established RA,"Tender joint count SMD -0.59 (-0.79 to -0.39) across 18 RCTs, 1,018 pts, with no significant effect on DAS28, ESR or CRP — symptom effect without inflammatory effect",Uncertain,UN2,—,Omega-3 meta-analysis,—,
uncertain,Probiotics,"IL-6 SMD -0.83, TNF-alpha -0.41, CRP -0.67 (I2=80.8%); no pooled disease-activity or joint-count outcome reported",Uncertain (surrogate outcomes only),UN1,—,Probiotics meta-analysis,—,
uncertain,Periodontal treatment,"Disease activity SMD -0.88 (-1.38 to -0.38) across 9 studies, 388 pts, at low/very low GRADE certainty with selection bias and unstable RA medication as heterogeneity sources",Uncertain,"UN1,UN5",—,Periodontal meta-analysis,—,
uncertain,Metformin add-on,"4 RCTs, 350 pts: CRP MD -5.55 (-7.46 to -4.52), DAS-28 MD -0.8, HAQ-DI -0.12","Uncertain (promising, thin)","UN1,UN6",—,Metformin meta-analysis,—,
uncertain,Tetracyclines,"10 RCTs: TJC SMD -0.39 (-0.74 to -0.05), 3 of 10 trials high quality",Uncertain,UN1,—,Tetracycline meta-analysis,—,
uncertain,Mesenchymal stem cells,"64 patients, uncontrolled, DAS28 and HAQ lower at 1 and 3 years vs pretreatment while remaining on DMARDs; pooled MSC safety across autoimmune indications gives AE RR 2.35 (0.58-9.58)",Uncertain (no control group),UN1,—,MSC cohort; MSC safety pooling,—,
uncertain,Mindfulness,"Clearest effect on depressed mood (MBCT depression SMD -0.72, -1.22 to -0.22) rather than pain or disease activity; unblindable with an active-control problem",Uncertain,UN2,—,Mindfulness meta-analysis,—,
uncertain,Cannabis-based medicine,"One 58-patient 5-week RCT: significant improvement in pain on movement, pain at rest, sleep quality and DAS28; no effect on morning stiffness. Nothing since 2006",Uncertain (single small trial),UN2,—,Sativex RA RCT,—,
uncertain,Selenium,VAS pain MD -12.68 mm (-19.08 to -6.28) from 7 small studies; narrow therapeutic window,Uncertain,UN2,—,Selenium meta-analysis,—,
uncertain,Tai chi,"Cochrane 7 trials, 345 participants: pain MD -2.15 (-3.19 to -1.11), a 22% absolute improvement, but from 2 studies and 81 participants at very low quality; disease activity inconclusive; ~75% of trials did not report random sequence generation",Uncertain,UN2,—,Cochrane tai chi,—,
uncertain,Total glucosides of paeony,"8 RCTs, 1,209 pts: improved ACR20/50/70 as csDMARD add-on and reduced adverse effects, at limited methodological quality",Uncertain,"UN1,UN6",—,TGP meta-analysis,—,
uncertain,Sinomenine,"10 trials, 1,185 pts vs NSAIDs: more improved patients and more RF disappearance (P<0.00001; P=0.008), better morning stiffness and ESR; no difference in swollen joints, grip strength or CRP. NSAID comparator cannot support a disease-modifying claim",Uncertain,UN1,—,Sinomenine meta-analysis,—,
uncertain,The window of opportunity,"Earlier treatment associates with better outcomes, but the strongest study is a 20-per-arm case-control, no RCT has randomised time-to-treatment, and the duration-response gradient is absent in smokers (BARFOT, n=1,587)","Uncertain (association established, mechanism not)",UN1,—,PMID 15334426; BARFOT,—,
uncertain,Whether ACPA-negative RA is one disease,"Different genetics and environmental associations; 10-year drug-free remission 26.6%, diagnosis change 12.8%; apparently preventable where ACPA-positive disease is not",Uncertain,UN7,—,Olmsted seronegative cohort; TREAT EARLIER 5-year,—,
dont_know,Which drug for which patient,No validated treatment-allocation tool exists. Synovial RNA-seq models reach AUC 0.75-0.87 for response and multidrug resistance but none has been prospectively tested as an allocation rule; drug selection remains sequential trial-and-error at 3-6 months per failed cycle,Probable for prediction; no evidence for clinical utility,UN4,—,R4RA; STRAP,—,
dont_know,No intervention exists for response prediction,"Across 67 interventions in 12 traditions surveyed in Phase 2, zero address UN4. This is an empty intervention space, not a contested one",Established (about the corpus),UN4,—,ra_phase2_treatment_map.csv,—,
dont_know,Who can safely stop treatment,"No patient who ever needed a bDMARD achieved sustained DMARD-free remission, versus 37% at 5 years of those who never did. Withdrawal trials are run in the population where DFR essentially never occurs","Uncertain (ascertainment bias argued, not proven)",UN3,—,Leiden EAC/tREACH,—,
dont_know,Why ACPA-negative at-risk disease appears preventable,"TREAT EARLIER 5-year: RA in 3/35 (9%) vs 10/31 (32%) in ACPA-negative at-risk participants, HR 0.24 (0.07-0.87), NNT 4; no effect in ACPA-positive. Single post-hoc subgroup, n=66",Probable (single post-hoc subgroup),"UN5,UN7",—,TREAT EARLIER 5-year,—,
dont_know,What maintains inflammation in PIRRA,A stromal/fibroblast signature marks multidrug resistance; spatial data describe fibrogenic vascular niches with COMP-high fibroblasts and Notch-driven TGF-beta signalling expanding after immune depletion. Never tested interventionally,Hypothesis,UN1,—,R4RA molecular; spatial transcriptomics,—,
dont_know,What to do for NIRRA,43% of difficult-to-treat patients have high disease activity scores without objective inflammation. They receive escalating immunosuppression with no mechanistic rationale and no established alternative,Established as a phenomenon; no established treatment,UN2,—,D2T ultrasound cross-sectional,—,
dont_know,True attributable fraction of modifiable exposure,"Population twin data: additive genetic variance 12% (0-76%), shared environment 50% (0-72%) — compatible with a far larger modifiable component than the commonly quoted ~60% heritability implies",Uncertain,UN5,—,Population twin study,—,
dont_know,Whether tolerance can be induced rather than immunity suppressed,Peresolimab is the first clinical test of agonising an inhibitory checkpoint in RA; Treg and low-dose IL-2 approaches have reviews but no controlled RA efficacy trial; CAR-T experience in RA is minimal,Hypothesis / early clinical,UN3,—,Peresolimab; Treg reviews,—,
dont_know,"Why the joint, and why symmetrically",No current causal model explains the anatomical specificity or symmetry of RA,Unknown,—,—,Phase 1 open question 10,—,
dont_know,Causal direction of the gut-joint axis,Dysbiosis reported in preclinical and established RA and partially normalised after treatment; causal direction unresolved. No RA efficacy trial of faecal microbiota transplantation or helminth therapy exists,Hypothesis,UN5,—,Gut-joint reviews,—,
dont_know,How to repair existing damage,"Denosumab (erosion healing 20% vs 6%) is the only intervention in the entire survey addressing structural repair, and it does not affect inflammation",Probable for one agent; unknown otherwise,UN8,—,Denosumab RCT,—,
dont_know,Whether subgroup-specific treatment strategies exist,"Only 2 of 67 interventions map to UN7, both incidentally. No intervention has been developed or tested for a defined RA subgroup",Established (about the corpus),UN7,—,ra_phase2_treatment_map.csv,—,
dont_know,Whether sleep is a modifiable target,"5 studies, 262 patients, no consistent or conclusive evidence, despite sleep disturbance being near-universal in RA",Unknown,UN2,—,Sleep SR,—,
worth_studying,Prosorba protein A immunoadsorption,"99 patients, mean 15.4 years' disease, >5 prior DMARDs: ACR response 28.9% vs 10.6% on sham (p=0.005; 41.7% vs 15.6% among completers). Withdrawn on cost and practicality as biologics arrived","Probable (positive sham-controlled RCT, not replicated since)",UN1,Abandoned despite positive controlled evidence,Prosorba RCT,Abandoned despite evidence,4.0
worth_studying,Dapsone,1980s-90s RCTs: improvement in 5 of 7 clinical measures and ESR. Never re-tested with modern methods or outcomes,Uncertain (old positive RCTs),UN1,Abandoned despite positive controlled evidence,Dapsone RCTs,Abandoned despite evidence,4.0
worth_studying,Autologous HSCT in refractory RA,">=ACR50 at some point in 49/76 (67%) with severe refractory disease; abandoned when biologics arrived, without a head-to-head comparison","Uncertain (uncontrolled, superseded without comparison)","UN1,UN3",Abandoned without a comparison,HSCT series,Abandoned despite evidence,2.0
worth_studying,Anakinra / IL-1 blockade in defined subgroups,Cochrane-confirmed efficacy (ACR20 38% vs 23%) displaced by more effective agents on average. Whether an IL-1-driven subgroup exists has not been tested with modern stratification,Established for average effect; hypothesis for subgroup,"UN1,UN7","Effective agent retired on average effect, subgroup never sought",PMID 19160281,Subgroup or anomaly signal,3.0
worth_studying,IL-17 inhibition in RA,Pooled ACR20 RR 1.67 (1.40-2.00) in TNF-inadequate responders across 10 studies; class established in PsA and axSpA but not used in RA. No retrieved source documents why,"Uncertain (positive pooled data, unexplained absence)",UN1,"Anomaly: positive evidence, absent from practice",IL-17 pooling,Unexplained absence from practice,4.0
worth_studying,Sirukumab and other shelved biologics,Positive phase 3 ACR20 (40% vs 24%; 53.5%/54.8% vs placebo) without licensure; ocrelizumab DAS28 response RR 3.77 (2.47-5.74) with RA development stopped while the same molecule succeeded in MS,Established efficacy; development discontinued,UN1,Abandoned for non-efficacy reasons,Sirukumab; ocrelizumab RA trials,Unexplained absence from practice,4.0
worth_studying,Transcutaneous (non-invasive) vagus nerve stimulation,"Open-label pilot, 16 patients, 4 days: DAS28-CRP 4.1->3.8 (p=0.02) in the high-activity cohort and no effect in the low-activity cohort. The implanted route now has a positive sham-controlled pivotal trial; the non-invasive route has never been sham-tested in RA",Hypothesis (uncontrolled pilot) with a proven mechanism upstream,"UN1,UN2","Gap: proven mechanism, untested cheap route",tVNS pilot; RESET-RA,Untested gap,2.0
worth_studying,The food-intolerance subgroup,"In a 94-patient double-blind elimination study negative on average, 9 patients improved and then flared markedly on rechallenge with changes in objective activity measures. Never retested in >30 years",Hypothesis (rechallenge-defined subgroup within a negative trial),"UN2,UN7",Subgroup signal inside a negative result,PMID 1740869,Subgroup or anomaly signal,3.0
worth_studying,The 1991 fasting + vegetarian diet trial,"27 vs 26 patients: significant improvement in tender joints, Ritchie index, swollen joints, pain, morning stiffness, grip strength, ESR, CRP, white cell count and HAQ, sustained at one year, with only pain improving in controls. Single-blind, residential, unmatched control setting","Uncertain (strongest historical dietary result, never adequately replicated)",UN2,Abandoned line with an unusually broad positive result,PMID 1681264,Abandoned despite evidence,4.0
worth_studying,ACPA-negative at-risk prevention,"TREAT EARLIER 5-year post-hoc: HR 0.24 (0.07-0.87), NNT 4 in ACPA-negative at-risk participants where ACPA-positive showed nothing. n=66, post-hoc, never independently replicated",Probable but single post-hoc subgroup,"UN5,UN7",Subgroup effect that inverts the main trial result,TREAT EARLIER 5-year,Subgroup or anomaly signal,3.0
worth_studying,Never-bDMARD patients as the drug-free remission population,37% (5 y) vs 0% sustained DMARD-free remission depending only on whether a bDMARD was ever needed. Withdrawal trials have been run in the wrong population if this is a marker rather than a consequence,"Uncertain (ascertainment bias argued, not proven)",UN3,Population-selection anomaly in the existing trial base,Leiden EAC/tREACH,Subgroup or anomaly signal,3.0
worth_studying,Stromal / fibroblast-directed therapy in PIRRA,"Fibroblast COMP and endothelial Notch-driven TGF-beta signalling expand after immune depletion in non-remitting patients. If disease becomes stromally autonomous, no immune-targeted drug can resolve it","Hypothesis (mechanistic, never tested interventionally)",UN1,Untested gap with a specific mechanistic prediction,Spatial transcriptomics,Untested gap,1.0
worth_studying,Non-immunosuppressive strategies for NIRRA,"43% of difficult-to-treat patients have no objective inflammation, higher BMI and 15-38% fibromyalgia prevalence, and currently receive escalating immunosuppression. No trial has randomised a non-immunosuppressive strategy in an imaging-defined NIRRA population",Established as a phenomenon; no intervention tested,UN2,Untested gap affecting a defined and identifiable group,D2T ultrasound cross-sectional,Untested gap,1.0
worth_studying,Total glucosides of paeony as a tolerability agent,Reported to improve ACR responses and reduce adverse effects when added to csDMARDs. The adverse-effect reduction is the less studied of the two claims and maps to a top patient priority,Uncertain (limited methodological quality),UN6,"Outcome that matters to patients, reported incidentally",TGP meta-analysis,Untested gap,4.0
worth_studying,Iguratimod outside East Asia,"Largest non-Western RCT base in the survey (31 RCTs, 2,776 pts; ACR70 RR 2.19 at GRADE high certainty as MTX add-on) and essentially unknown in Western practice; no independent non-Chinese/Japanese trial retrieved","Probable, but geographically confined evidence",UN1,Effective agent absent from one hemisphere's practice,Iguratimod meta-analysis,Unexplained absence from practice,4.0
worth_studying,Whether TwHF's active constituents can be separated from gonadal toxicity,Efficacy comparable to methotrexate with a 40-year reproductive toxicology record. The efficacy and the toxicity have not been attributed to the same or different constituents in the retrieved evidence,Probable for efficacy; established concern for toxicity,"UN1,UN6",Effective agent limited by a possibly separable harm,TwHF consensus; TwHF toxicology,Untested gap,1.0
worth_studying,Sham design in acupuncture trials,"Whether same-acupoint sham is an inert control is an empirical question that determines whether a large body of positive evidence is real or artefactual, and it has not been settled by any retrieved study",Unknown (methodological),UN2,"Conflict whose resolution is a study design, not a treatment",Cochrane acupuncture; 2025 NMA,Conflict to resolve,1.0
worth_studying,Helminth therapy and faecal microbiota transplantation,Both follow directly from the mucosal-origins hypothesis; neither has any RA efficacy trial,Hypothesis,UN5,Untested gap downstream of an established observation,Gut-joint reviews,Untested gap,1.0
worth_studying,Treg and low-dose IL-2 therapy,"The approaches most directly aimed at drug-free remission have the thinnest RA clinical evidence base of any modern strategy — reviews only, no controlled RA trial",Hypothesis,UN3,"Highest-priority need, lowest evidence density",Treg reviews,Untested gap,1.0
worth_studying,CD19-directed immune reset,"CD19xCD3 bispecific engager on compassionate use in 6 multidrug-resistant patients: rapid decline in disease activity in all six, activated memory B cells replaced by IgD+ naive B cells, no clinically relevant CRS","Hypothesis (n=6, uncontrolled)","UN1,UN3",Early uncontrolled signal in the population with fewest options,CD19xCD3 case series,Early uncontrolled signal,2.0
worth_studying,Sleep as a target,"Near-universal symptom, 5 studies and 262 patients in total, no conclusion possible",Unknown,UN2,Untested gap in a top patient-priority domain,Sleep SR,Untested gap,1.0
worth_studying,RA-specific cannabinoid and low-dose naltrexone data,"LDN is negative for pain overall (d=-0.11) with a positive fibromyalgia subgroup (d=-0.34), and ~34% of RA patients meet fibromyalgia criteria. Cannabis has one 58-patient RA trial from 2006. Both are used off-label without RA-specific evidence","Uncertain (subgroup rationale, no RA trial)",UN2,Widespread off-label use with no RA evidence base,LDN meta-analysis; Sativex RCT; FM prevalence cohort,Untested gap,4.0
