nct,title,phase,enrollment,interventions,sponsor,start,completion,results_posted,results_retrievable,linked_pmids,retrieval_attempted,retrieval_date,comp_year,months_since_completion,reporting_status
NCT06335303,A Study to Test Whether BI 1819479 Improves Lung Function in People With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,322.0,BI 1819479; Placebo matching BI 1819479,Boehringer Ingelheim,2024-09-05,2026-01-16,no,publication likely (post-completion linked record; primary outcome unverified),41846682(2026),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,8.0,within 12-month reporting window
NCT03939520,Management of Progressive Disease in Idiopathic Pulmonary Fibrosis,PHASE4,279.0,pirfenidone and nintedanib; pirfenidone or nintedanib; pirfenidone or nintedanib,Hospices Civils de Lyon,2020-06-11,2026-01-09,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,8.0,within 12-month reporting window
NCT06265532,Collagen-targeted Positron Emission Tomography (PET) Imaging for Assessment of EGCG Effect,PHASE1,12.0,EGCG 300 mg; Placebo for EGCG 300 mg; EGCG 600 mg; Placebo for EGCG 600 mg,Hal Chapman,2024-02-07,2026-01-08,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,8.0,within 12-month reporting window
NCT06502379,"A Single and Multiple Ascending Dose Study to Investigate the Safety, Tolerability, and Pharmacokinetics of AZD8965 in H",PHASE1,147.0,AZD8965; Placebo,AstraZeneca,2024-08-02,2025-11-15,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,10.0,within 12-month reporting window
NCT06331624,Biomarker Modulation and the Inhibition of NKT1 Cells by Oral GRI-0621 in Patients With IPF,PHASE2,35.0,Tazarotene (GRI-0621); Placebo,"GRI Bio Operations, Inc.",2024-04-24,2025-09-30,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,11.0,within 12-month reporting window
NCT05671835,Study of TTI-101 in Participants With Idiopathic Pulmonary Fibrosis,PHASE2,100.0,TTI-101; Placebo,"Tvardi Therapeutics, Incorporated",2023-05-15,2025-08-14,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,13.0,beyond 12-month reporting window
NCT05468502,Phase I/IIa Clinical Trial of Human Umbilical Cord Mesenchymal Stem Cell Injection in the Treatment of Idiopathic Pulmon,PHASE1,17.0,Human umbilical cord mesenchymal stem cell injection,Shanghai Life Science & Technology,2022-10-10,2025-08-01,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,13.0,beyond 12-month reporting window
NCT06230822,"Safety, Tolerability and Efficacy of VUM02 Injection in Treatment of Idiopathic Pulmonary Fibrosis (IPF)",PHASE1,9.0,VUM02 Injection,"Wuhan Optics Valley Vcanbiopharma Co., Ltd.",2024-03-05,2025-08-01,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,13.0,beyond 12-month reporting window
NCT02551068,High Oxygen Delivery to Preserve Exercise Capacity in Idiopathic Pulmonary Fibrosis Patients Treated With Nintedanib,,78.0,60% Oxygen; Standard of Care,University of British Columbia,2015-12,2025-08,no,"no results found (only pre-completion linked record, e.g. design/protocol)",27348402(2016),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,21.0,beyond 12-month reporting window
NCT06821464,A Trial of HRS-9813 in Healthy Subjects,PHASE1,45.0,HRS-9813; HRS-9813,"Guangdong Hengrui Pharmaceutical Co., Ltd",2025-02-17,2025-07-27,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,13.0,beyond 12-month reporting window
NCT05255991,Multinational Study of Efficacy and Safety of Inhaled Treprostinil in Subjects With Idiopathic Pulmonary Fibrosis,PHASE3,597.0,Placebo; Inhaled Treprostinil; Treprostinil Ultrasonic Nebulizer,United Therapeutics,2022-10-04,2025-06-30,no,publication likely (post-completion linked record; primary outcome unverified),41812190(2026),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,14.0,beyond 12-month reporting window
NCT06683612,PET Study of PIPE-791 in Healthy Volunteers and Volunteers With PrMS and IPF,PHASE1,16.0,PIPE-791,Contineum Therapeutics,2024-12-09,2025-06-12,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,15.0,beyond 12-month reporting window
NCT07031362,The Effectiveness of Pulmonary Rehabilitation on Saturation in Patients With Idiopathic Pulmonary Fibrosis,,50.0,EXERCISE TRAINING WITH OR WITHOUT MEDICATION,Izmir Katip Celebi University,2013-01-01,2025-05-01,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,16.0,beyond 12-month reporting window
NCT06081621,A Clinical Study to Evaluate the Efficacy and Safety of REGEND001 Cell Therapy on Idiopathic Pulmonary Fibrosis (IPF),PHASE2,23.0,REGEND001; Placebo,Regend Therapeutics,2023-12-11,2025-03-14,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,18.0,beyond 12-month reporting window
NCT05483907,"To Evaluate the Efficacy, Safety, and Tolerability of BBT-877 in Patients With IPF",PHASE2,129.0,BBT-877; Placebo,"Bridge Biotherapeutics, Inc.",2023-04-12,2025-02-23,no,publication likely (post-completion linked record; primary outcome unverified),40404183(2025),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,18.0,beyond 12-month reporting window
NCT05331729,Evaluation of the Value of 18F-Fluoromisonidazole (18F-FMISO) Positron Emission Tomography Hypoxia Imaging in Idiopathic,PHASE1,20.0,FMISO-PET Protocol,Centre Hospitalier Universitaire Dijon,2023-03-20,2025-02-20,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,18.0,beyond 12-month reporting window
NCT05366387,Effect of Intrapulmonary Percussion Ventilation on Deposition of Inhaled Aerosols in Idiopathic Pulmonary Fibrosis,,9.0,intrapulmonary percussive ventilation; delivery of 99mTc-DTPA aerosol,"University Hospital, Tours",2022-11-23,2025-02-12,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,19.0,beyond 12-month reporting window
NCT05895565,A Multiple Ascending Doses (MAD) Study of PMG1015 in Idiopathic Pulmonary Fibrosis Subjects,PHASE1,29.0,PMG1015; PMG1015 placebo,Pulmongene Ltd.,2023-05-19,2025-02-07,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,19.0,beyond 12-month reporting window
NCT03183570,"Detection of Integrin avb6 in IPF, PSC, and COVID19 Using PET/CT",EARLY_PHASE1,21.0,[18F]FP-R01-MG-F2,Stanford University,2017-11-08,2025-01-25,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2025,19.0,beyond 12-month reporting window
NCT04838275,IPF mHealth Exercise Study,,32.0,12-week mHealth home exercise prescription,University of Washington,2021-05-01,2024-12-31,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,20.0,beyond 12-month reporting window
NCT06569381,Comparative Pharmacokinetic Study of Pirfenidone Modified-Release Tablets in Healthy Subjects Under Fasting and Fed Cond,PHASE1,18.0,Pirfenidone Modified-Release Tablets; Pirfenidone Modified-Release Tablets,"Overseas Pharmaceuticals, Ltd.",2024-09-18,2024-12-08,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,21.0,beyond 12-month reporting window
NCT06625489,"A Study to Evaluate the Safety, Tolerability and Blood Levels of GSK3915393 Administered to Healthy Participants of Chin",PHASE1,50.0,Part A: Placebo; Nintedanib; GSK3915393,GlaxoSmithKline,2024-10-07,2024-11-25,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,21.0,beyond 12-month reporting window
NCT04529993,"An Atlas of Airways at a Single Cell Level in Chronic Obstructive Pulmonary Disease, Idiopathic Pulmonary Fibrosis and C",,71.0,Bronchoscopy,Centre Hospitalier Universitaire de Nice,2020-11-18,2024-11-18,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,21.0,beyond 12-month reporting window
NCT05984992,The First-in-human Study of SRN-001 in Healthy Participants,PHASE1,25.0,SRN-001; Placebo,siRNAgen Therapeutics Inc.,2023-09-08,2024-09-25,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,23.0,beyond 12-month reporting window
NCT05722964,Study on Intravenous Injection of SHR-1906 in the Treatment of Idiopathic Pulmonary Fibrosis,PHASE2,30.0,SHR-1906; SHR-1906; Placebo,"Guangdong Hengrui Pharmaceutical Co., Ltd",2023-03-29,2024-08-07,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,25.0,beyond 12-month reporting window
NCT04996303,Efficacy of Steroid Pulse Therapy in Acute Exacerbation of Idiopathic Pulmonary Fibrosis (AE-IPF) Admitted in ER,,100.0,Routine steroid administration group; Steroid pulse therapy group,Yonsei University,2021-07-27,2024-07-18,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,25.0,beyond 12-month reporting window
NCT06563011,The Assessment of Nutritional Status of Patients With IPF,,31.0,Counselling,İrem Çağla Özel,2023-09-05,2024-06-05,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,27.0,beyond 12-month reporting window
NCT06588517,Comparative Pharmacokinetic(PK) Study of Pirfenidone Modified-Release Tablets and Pirfenidone Tablets in Healthy Subject,PHASE1,12.0,Pirfenidone Modified-Release Tablets; Pirfenidone Tablets,"Overseas Pharmaceuticals, Ltd.",2024-04-08,2024-04-27,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,28.0,beyond 12-month reporting window
NCT05976217,Safety and Efficacy of Venetoclax in Idiopathic Pulmonary Fibrosis,EARLY_PHASE1,3.0,Venetoclax,University of Alabama at Birmingham,2023-10-01,2024-03-20,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,29.0,beyond 12-month reporting window
NCT04540770,"A Phase 1 Study to Evaluate Safety, Tolerability, Pharmacokinetics, and Immunogenicity of HuL001",PHASE1,24.0,HuL001,"HuniLife Biotechnology, Inc.",2021-08-31,2024-01-19,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,31.0,beyond 12-month reporting window
NCT03890250,Neuromuscular Electrical Stimulation in Patients With Idiopathic Pulmonary Fibrosis,,22.0,Aerobic exercise; Neuromuscular electrical stimulation,Biruni University,2019-03-20,2024-01-01,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2024,32.0,beyond 12-month reporting window
NCT05119972,"Tolerability, Pharmacokinetics and Efficacy of ZSP1603 in Patients With Idiopathic Pulmonary Fibrosis （IPF）",PHASE1|PHASE2,15.0,ZSP1603; Placebo,"Guangdong Raynovent Biotech Co., Ltd",2021-10-21,2023-12-21,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,32.0,beyond 12-month reporting window
NCT04968574,A Study Evaluating the Safety and Efficacy of ENV-101 in Subjects With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,41.0,taladegib; placebo,"Endeavor Biomedicines, Inc.",2021-08-26,2023-11-30,no,publication likely (post-completion linked record; primary outcome unverified),41043447(2025),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,33.0,beyond 12-month reporting window
NCT05932303,"A Study to Assess the Effect of Multiple Doses of Itraconazole, Gemfibrozil, or Carbamazepine on BMS-986278 in Healthy P",PHASE1,47.0,BMS-986278; Itraconazole; Gemfibrozil; Carbamazepine,Bristol-Myers Squibb,2023-07-12,2023-10-23,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,34.0,beyond 12-month reporting window
NCT06589921,Comparative Pharmacokinetic Study of Pirfenidone Modified-Release Tablets and Pirfenidone Tablets in Healthy Subjects Un,PHASE1,24.0,Pirfenidone Modified-Release Tablets; Pirfenidone Tablets,"Overseas Pharmaceuticals, Ltd.",2023-08-25,2023-09-14,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,36.0,beyond 12-month reporting window
NCT03326089,Pulmonary Rehabilitation in Idiopathic Pulmonary Fibrosis,,20.0,Pulmonary rehabilitation,Corfu General Hospital,2017-06-01,2023-08-28,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,36.0,beyond 12-month reporting window
NCT05473533,Study of Single and Multiple Doses of PRS-220 Administered by Oral Inhalation in Healthy Subjects,PHASE1,64.0,Placebo; PRS-220,Pieris Australia Pty Ltd,2022-10-31,2023-08-11,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,37.0,beyond 12-month reporting window
NCT03222648,Structured Exercise Training Programme in Idiopathic Pulmonary Fibrosis,,17.0,Structured Responsive Exercise Training; Usual Care,University Hospital Southampton NHS Foundation Trust,2017-09-22,2023-08-08,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,37.0,beyond 12-month reporting window
NCT05817240,A Drug-Drug Interaction Study of ENV-101 (Taladegib) on Nintedanib Pharmacokinetics in Healthy Subjects,PHASE1,21.0,taladegib; nintedanib,"Endeavor Biomedicines, Inc.",2023-05-03,2023-06-21,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,38.0,beyond 12-month reporting window
NCT05657184,Treatment of Idiopathic Pulmonary Fibrosis (IPF) by REGEND001,PHASE1,12.0,REGEND001,Regend Therapeutics,2021-07-19,2023-06-09,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,39.0,beyond 12-month reporting window
NCT06372353,The Effect Of Baduanjin Exercises In Patients With Idiopathic Pulmonary Fibrosis,,28.0,Baduanjin Exercise,Marmara University,2022-06-01,2023-06-06,no,publication likely (post-completion linked record; primary outcome unverified),41184899(2025),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,39.0,beyond 12-month reporting window
NCT05684289,"A Study Investigating the Safety, Tolerability, Drug Levels and Drug Effect of BMS-986278 in Healthy Adult Participants ",PHASE1,61.0,BMS-986278; Sildenafil; Placebo,Bristol-Myers Squibb,2023-01-03,2023-05-02,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,40.0,beyond 12-month reporting window
NCT05095363,Palliative Care Planner (PCplanner),,43.0,PCplanner,Duke University,2022-03-16,2023-03-31,no,publication likely (post-completion linked record; primary outcome unverified),39158903(2025),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,41.0,beyond 12-month reporting window
NCT05134727,"Assess the Safety, Tolerability and Pharmacokinetics of AZD5055 Following Single and Multiple Ascending Doses in Healthy",PHASE1,63.0,AZD5055; Placebo,AstraZeneca,2021-11-18,2023-03-31,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,41.0,beyond 12-month reporting window
NCT04931147,"A 3-part Study to Evaluate Safety, Tolerability, Food Effect and Drug-drug Interactions of RXC007 in Healthy Volunteers",PHASE1,90.0,RXC007; RXC007 Matching Placebo,Redx Pharma Ltd,2021-05-13,2023-03-08,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,42.0,beyond 12-month reporting window
NCT06135363,"Safety, Tolerability and Pharmacokinetic Study of SC1011 in Healthy Subjects",PHASE1,45.0,SC1011; Placebo tablet,"Guangzhou JOYO Pharma Co., Ltd",2022-08-11,2023-01-14,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2023,44.0,beyond 12-month reporting window
NCT05154240,"A Phase 1, Evaluate the Safety, Tolerability, and Pharmacokinetics of INS018_055 in Healthy Subjects",PHASE1,78.0,INS018_055; Placebo,InSilico Medicine Hong Kong Limited,2022-02-21,2022-12-02,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,45.0,beyond 12-month reporting window
NCT05428150,"Randomized, Crossover, Multi-Dose Pharmacokinetics of EXCL-100 Pirfenidone-Sustained Release Tablet and Esbriet in Healt",PHASE1,32.0,"Esbriet 267 MG Oral Capsule; EXCL-100, 600 MG Oral Tablet","Excalibur Pharmaceuticals, Inc.",2022-08-08,2022-09-25,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,47.0,beyond 12-month reporting window
NCT04986540,A Trial of SHR - 1906 in Healthy Subjects,PHASE1,72.0,SHR-1906；Placebo,"Guangdong Hengrui Pharmaceutical Co., Ltd",2021-08-10,2022-09-07,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,48.0,beyond 12-month reporting window
NCT05022771,"A First in Human Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Immunogenicity of PMG1015",PHASE1,54.0,PMG1015 Dose 1; PMG1015 Dose 2; PMG1015 Dose 3; PMG1015 Dose 4; PMG1015 Dose 5; PMG1015 Dose 6; Placebo; PMG1015 Dose 7,Pulmongene Ltd.,2021-10-14,2022-08-18,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,48.0,beyond 12-month reporting window
NCT04720443,"A Safety, Tolerability, and Pharmacokinetic Study of NIP292 in Healthy Normal Subjects",PHASE1,56.0,NIP292 tablet; NIP292 tablet; NIP292 tablet; NIP292 tablet; NIP292 tablet; NIP292 tablets; NIP292 tablets,"The National Institutes of Pharmaceutical R&D Co. Ltd, China",2019-11-22,2022-07-14,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,50.0,beyond 12-month reporting window
NCT04069143,"A Study to Evaluate the Safety, Tolerability, Kinetics and Repeatability of 18F-BMS-986327",PHASE1,14.0,18F-BMS-986327,Bristol-Myers Squibb,2019-10-01,2022-07-12,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,50.0,beyond 12-month reporting window
NCT04312594,Study of Jaktinib Hydrochloride Tablets in Participants With Idiopathic Pulmonary Fibrosis,PHASE2,91.0,Jaktinib Hydrochloride Tablets; Jaktinib Hydrochloride Tablets; Placebo,"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",2020-09-08,2022-06-09,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,51.0,beyond 12-month reporting window
NCT05353556,Effects of Home-based Inspiratory Muscle Training in Patients With IPF,,28.0,Inspiratory Muscle Training (IMT); Sham IMT,Dokuz Eylul University,2022-02-21,2022-05-30,no,publication likely (post-completion linked record; primary outcome unverified),39129185(2024),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,51.0,beyond 12-month reporting window
NCT04318704,"Efficacy, Safety and Tolerability of NP-120 on Idiopathic Pulmonary Fibrosis and Its Associated Cough",PHASE2,20.0,Ifenprodil,Algernon Pharmaceuticals,2020-07-29,2022-05-10,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,52.0,beyond 12-month reporting window
NCT06160440,"The Safety, Tolerability, and Pharmacokinetic Study of SC1011 in Healthy Subjects.",PHASE1,55.0,SC1011,"Guangzhou JOYO Pharma Co., Ltd",2021-06-03,2022-02-23,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2022,54.0,beyond 12-month reporting window
NCT04233814,"Safety, Tolerability and Pharmacokinetic Study of LTI-03 in Healthy Adult Subjects",PHASE1,71.0,Caveolin-1-Scaffolding-Protein-Derived Peptide (LTI-03); Placebo,Rein Therapeutics,2020-01-20,2021-12-23,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,56.0,beyond 12-month reporting window
NCT05173571,Homecare Integral Support Program for IPF Patients,,95.0,"Comprehensive patient support program (educational, physiotherapy, nutritional, emotional)",Institut d'Investigació Biomèdica de Bellvitge,2018-07-01,2021-12-12,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,57.0,beyond 12-month reporting window
NCT05383131,To Evaluate Drug-drug Interactions Between HEC585 and Pirfenidone or Nintedanib in Healthy Volunteers,PHASE1,33.0,HEC585; Pirfenidone; Nintedanib,"Sunshine Lake Pharma Co., Ltd.",2021-06-23,2021-11-30,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,57.0,beyond 12-month reporting window
NCT07588646,Study To Investigate The Potential DDI Between HEC585 And Pirfenidone/Nintedanib In Healthy Subjects,PHASE1,33.0,HEC585; Nintedanib; Pirfenidone,"Sunshine Lake Pharma Co., Ltd.",2021-06-29,2021-11-30,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,57.0,beyond 12-month reporting window
NCT04512170,"Single and Multiple Dose Safety, Tolerability, PK and Food Effect Study of HEC585 in Healthy Male and Female Subjects",PHASE1,72.0,HEC585; placebo,"Sunshine Lake Pharma Co., Ltd.",2020-07-13,2021-08-23,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,60.0,beyond 12-month reporting window
NCT04888715,To Evaluate Drug-drug Interactions Between DWN12088 and Pirfenidone or Nintedanib in Healthy Volunteers,PHASE1,48.0,DWN12088; Pirfenidone; Nintedanib,Daewoong Pharmaceutical Co. LTD.,2021-07-23,2021-08-18,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,60.0,beyond 12-month reporting window
NCT04888728,To Evaluate Drug-drug Interactions Between DWN12088 and Nebivolol or Paroxetine in Healthy Volunteers,PHASE1,24.0,DWN12088; Nebivolol; Paroxetine,Daewoong Pharmaceutical Co. LTD.,2021-06-30,2021-07-27,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,61.0,beyond 12-month reporting window
NCT04767815,To Evaluate Food Effect on the PK and Safety After Oral DWN12088 Administration in Healthy Adult Volunteers,PHASE1,36.0,Diet A group; Diet B group; Diet C group,Daewoong Pharmaceutical Co. LTD.,2021-03-22,2021-06-04,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,63.0,beyond 12-month reporting window
NCT04481074,Inspiratory Muscle Training in Patients With Interstitial Lung Disease,,14.0,Inspiratory muscle training,Federal University of Minas Gerais,2020-07-30,2021-04-30,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,64.0,beyond 12-month reporting window
NCT04564664,High-flow Oxygen Therapy During Exercise in Idiopathic Pulmonary Fibrosis,,10.0,Oxygen,Parc de Salut Mar,2019-03-01,2021-03-30,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,65.0,beyond 12-month reporting window
