intervention,inclusion_tier,registry_trials,max_phase,statuses,trials_with_posted_results,category,traditional,abandoned_reason,termination_reasons,verdict_class,verdict_sublabel,evidence_tier,evidence_tier_sublabel,n_human_studies,n_mono_randomised,strongest_design,key_result_pmid,key_result_verbatim,metric,duration_weeks,comparator_arm_change,endpoint_dimension,indirect_only,conflict_present,conflict_note,safety,pooled_context_pmids,combination_evidence_pmids,why,curated,curation_note,duplicate_of,registry_only_result
CHF10067,I3,2,PHASE2,COMPLETED|RECRUITING,3,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): posted results exist but the primary endpoints are safety, tolerability and pharmacokinetics; grading unchanged.",,"yes - posted registry results only, no publication located in this sweep"
CMR316,I3,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
CSVF,I3,1,EARLY_PHASE1,UNKNOWN,0,cell_therapy,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
Chinese herbal medicine,I2,0,none (literature-only),,0,,False,not_applicable,,Uncertain,"pooled syntheses report benefit but rest on small, mostly unregistered trials with outcome sets that often do not map to an IPF outcome dimension; capped at Uncertain by brief section 4.3",Uncertain,"traditional-medicine screen tier T2 (overviews and meta-analyses of primary Chinese-language trials, most of which were not independently retrievable here)",1,0,systematic_review,37235494.0,"CHM has potential benefits for patients with IPF especially in improving lung function (forced vital capacity (FVC), total lung capacity (TLC), and diffusing capacity of the lungs for carbon monoxide (DLCO)), PO2 level, and the quality of life of patients.","lung function (FVC, TLC, DLCO), PO2 level, quality of life",,conventional treatment alone or hormone therapy,"lung function (FVC, TLC, DLCO), PO2 level, quality of life",False,False,,,,,"1 human studies attributed; strongest systematic_review; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",True,"Aggregate row over the pooled TCM syntheses (PMIDs 37235494, 32991463, 29335860, 41088620, 39805768, 35881610, 36451506). Individual named formulas with their own randomised IPF trials are separate rows. CNKI/VIP/Wanfang/SinoMed not searched.",,
DWN12088,I3,3,PHASE2,ACTIVE_NOT_RECRUITING|COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
EXCL-100,I3,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
EZ-2053,I3,1,PHASE3,COMPLETED,2,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): the trial with posted results is prophylaxis of lung allograft rejection in transplant recipients, not treatment of IPF; retained only because the registry condition field lists IPF. Out of the IPF treatment scope.",,"yes - posted registry results only, no publication located in this sweep"
GB0139,I3,1,PHASE2,COMPLETED,1,investigational_drug,False,not_applicable,,Failed,"adequately sized quadruple-blind phase 2b: greater FVC decline on active drug than placebo on the primary endpoint, with more respiratory hospitalisations and worse SGRQ; no between-arm statistical test posted",Probable,"one adequately sized randomised trial, registry-posted only",2,2,rct,,"GALACTIC-1 (NCT03832946, n=172 randomised, 128 sites, quadruple-masked) primary endpoint annual rate of FVC decline at 52 weeks: GB0139 3 mg once daily -316.60 mL/year (95% CI -394.86 to -238.35, n=100) versus placebo -127.41 mL/year (95% CI -221.12 to -33.71, n=68); no between-arm analysis posted. Respiratory-related hospitalisations 17 of 102 versus 5 of 70; SGRQ total change +4.201 versus -4.77; deaths 8 of 102 versus 5 of 70; serious adverse events 24 of 102 versus 11 of 70; study completion 55 of 102 versus 38 of 70.",annual rate of FVC decline (mL/year),52.0,-127.41 mL/year (placebo),E2 disease progression / lung function,False,False,,deaths 8/102 (GB0139) vs 5/70 (placebo); serious adverse events 24/102 vs 11/70; respiratory-related hospitalisations 17/102 vs 5/70,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. Also merges the separate 'inhaled TD139' row (TD139 = GB0139). Earlier phase 1/2a target-engagement trial published (PMID 33214209).,,yes - GALACTIC-1 results not published in PubMed as of this sweep
GLPG1205,I1,1,PHASE2,COMPLETED,1,investigational_drug,False,not_applicable,,Uncertain,null result that size or phase cannot make decisive,Uncertain,underpowered null,2,1,rct,36328358.0,Least squares mean change from baseline in FVC at week 26 was -33.68 (95% CI -112.0-44.68) mL with GLPG1205 and -76.00 (95% CI -170.7-18.71) mL with placebo (least squares mean difference 42.33 (95% CI -81.84-166.5) mL; p=0.50).,change from baseline in forced vital capacity (FVC),26.0,placebo,change from baseline in forced vital capacity (FVC),False,False,,"GLPG1205 resulted in higher proportions of serious and severe treatment-emergent adverse events and treatment-emergent discontinuations, with worse safety profile than placebo, particularly when combi",,,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",False,,,
GNS-3545,I3,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
GSK2634673F,I3,1,PHASE1,TERMINATED,0,investigational_drug,False,recruitment_or_operational,The study was terminated due to challenges recruiting subjects with fibrotic interstitial lung disease associated with a connective tissue disease for Part D,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
GSK3008348,I1,2,PHASE1,COMPLETED|TERMINATED,1,investigational_drug,False,unknown,Sufficient information was gathered from cohort 1 to terminate the study without proceeding to optional cohort 2.,Uncertain,"randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal",Uncertain,early-phase or single randomised source,2,1,rct,32216814.0,Adjusted posterior median reduction in uncorrected VT at ~ 30 min after GSK3008348 inhalation was 20% (95% CrI: - 9 to 42%).,"whole lung volume of distribution (VT), not corrected for air volume, at ~30 min post-dose compared with pre-dose",4.3,placebo,"whole lung volume of distribution (VT), not corrected for air volume, at ~30 min post-dose compared with pre-dose",False,False,,GSK3008348 was well tolerated with no reports of serious adverse events or clinically significant abnormalities attributable to study treatment.,,,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 0 null, 0 harm.",False,"PHASE4 CORRECTION (C16): previously labelled 'positive randomised signal below phase 3'. The trial's primary endpoint is not a clinical outcome, so the row carries no efficacy signal.",,
GSK3915393,I3,2,PHASE2,COMPLETED|TERMINATED,0,investigational_drug,False,lack_of_efficacy,"The study met futility criteria at pre-planned interim analysis, showing no clinical efficacy of the investigational drug. Based on the lack of efficacy at the interim data review, the sponsor decided to terminate the study.",Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
HEC585,I3,6,PHASE3,ACTIVE_NOT_RECRUITING|COMPLETED|RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
HEC68498,I3,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
HRS-9813,I3,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
HSK44459,I3,3,PHASE3,COMPLETED|NOT_YET_RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
HSK50042,I3,1,PHASE2,NOT_YET_RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
HUL001,I3,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
HW241045,I3,1,PHASE1,NOT_YET_RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
HZN-825,I3,1,PHASE2,TERMINATED,1,investigational_drug,False,lack_of_efficacy,The trial was terminated due to not meeting primary or key secondary endpoints.,Failed,"adequately sized randomised phase 2, null on the primary FVC endpoint at both doses; a nominally worse composite progression endpoint on the twice-daily arm",Probable,"one adequately sized randomised trial, registry-posted only",1,1,rct,,"NCT05032066 (Amgen, n=153, triple-masked, 82 sites, terminated) primary endpoint change in FVC % predicted to week 52: -4.13 (300 mg QD), -3.38 (300 mg BID), -2.99 (placebo); LS mean difference versus placebo -1.13 (95% CI -3.56 to 1.29, p=0.4388) for QD and -0.39 (95% CI -2.86 to 2.09, p=0.7959) for BID. Secondary composite progression-free survival hazard ratio BID versus placebo 2.52 (95% CI 1.22 to 5.61, p=0.0438); secondary >=10% FVC decline odds ratio BID versus placebo 0.469 (95% CI 0.236 to 0.934, p=0.0706).","change in FVC % predicted, baseline to week 52",52.0,-2.99 % predicted (placebo),E2 disease progression / lung function,False,False,,"core phase serious adverse events 10/49 (QD), 14/52 (BID), 9/52 (placebo); deaths 3/49, 4/52, 2/52",,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'; abandoned_reason corrected from 'unknown' to lack of efficacy on the sponsor's own stated grounds. Note the internally discordant secondary endpoints (worse composite progression, fewer >=10% FVC decliners) - logged in the conflicts register.",,yes - no results publication found in PubMed
IDL-2965 oral,I3,1,PHASE1,TERMINATED,0,investigational_drug,False,unknown,Due to development challenges associated with the SARS-CoV-2 pandemic and emerging nonclinical data,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
INS018_055,I3,4,PHASE3,COMPLETED|NOT_YET_RECRUITING|RECRUITING,1,investigational_drug,False,not_applicable,,Uncertain,phase 2a with a safety primary endpoint; the FVC signal is exploratory and dose-restricted,Hypothesis,Hypothesis (efficacy signal exploratory; primary endpoint was tolerability),1,1,rct,40461817.0,"We observed increased forced vital capacity at the highest dosage with a mean change of +98.4 ml (95% confidence interval 10.9 to 185.9) for patients in the 60 mg rentosertib QD group, compared with -20.3 ml (95% confidence interval -116.1 to 75.6) for the placebo group","mean change in FVC, 60 mg QD vs placebo (exploratory)",12.0,,rate of FVC decline (E1) - exploratory,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,Reclassified from 'Poorly studied' in the Phase 3 retrieval-artefact check (corrections entry C11): the Phase 2 per-entity search had missed the primary report. Graded from the retrieved abstract; full text not read.,,
IW001,I2,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Uncertain,non-randomised or indirect human evidence only,Uncertain,observational or uncontrolled only,1,0,non_randomised_trial,25614165.0,"In contrast, the highest-dose cohort showed a trend toward stabilisation of forced vital capacity and matrix metalloproteinase 7, and a reduction in binding of C1q to anti-col(V) antibodies.",Safety and tolerability; exploration of efficacy including lung function (FVC) and matrix metalloproteinase 7,24.0,,Safety and tolerability; exploration of efficacy including lung function (FVC) and matrix metalloproteinase 7,False,False,,"All patients completed treatment without serious adverse events, acute exacerbations or IPF-related hospitalisations.",,,"1 human studies attributed; strongest non_randomised_trial; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
LTI-03,I1,3,PHASE2,COMPLETED|RECRUITING,1,investigational_drug,False,not_applicable,,Uncertain,"randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal",Uncertain,early-phase or single randomised source,1,1,rct,42538332.0,"In deep bronchial brushings, both LTI-03 doses significantly reduced interleukin-11 (p = 0.0406 at 5 mg/day; p = 0.044 at 10 mg/day) and thymic stromal lymphopoietin (p = 0.0256 at 5 mg/day; p = 0.0128 at 10 mg/day) versus placebo.",incidence of treatment-emergent adverse events (TEAEs),2.0,placebo,incidence of treatment-emergent adverse events (TEAEs),False,False,,"LTI-03 was well-tolerated, with no treatment-related discontinuations, no severe TEAEs, and no evidence of airway obstruction.",,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 0 null, 0 harm.",False,"PHASE4 CORRECTION (C16): previously labelled 'positive randomised signal below phase 3'. The trial's primary endpoint is not a clinical outcome, so the row carries no efficacy signal.",,
LTP001,I3,1,PHASE2,TERMINATED,1,investigational_drug,False,regulatory_or_commercial,Sponsor Decision,Uncertain,null result that size or phase cannot make decisive,Uncertain,"small randomised trial terminated early, registry-posted only",1,1,rct,,"NCT05497284 (Novartis, n=46 randomised, quadruple-masked, 15 sites, terminated - Sponsor Decision) primary endpoint change in FVC % predicted to end of treatment (~26 weeks): LTP001 6 mg -3.1 (n=17) versus placebo -1.1 (n=22); Bayesian random slope model slope -2.6 (95% credible interval -6.9 to 1.3). Secondary FVC change -120.0 mL versus -45.5 mL.","change in FVC % predicted, baseline to ~26 weeks",26.0,-1.1 % predicted (placebo),E2 disease progression / lung function,False,False,,deaths 1/23 (LTP001) vs 0/23 (placebo); serious adverse events 2/23 vs 1/23,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. Randomised data exist and show no signal of benefit, but the trial was stopped by sponsor decision at n=46 and cannot exclude a moderate effect.",,yes - no results publication found in PubMed
MG-S-2525,I3,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
MTX-463,I3,1,PHASE2,RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
NAL ER,I3,4,PHASE3,COMPLETED|RECRUITING,4,investigational_drug,False,not_applicable,,Works,"cough frequency only (E9); replicated in two randomised trials of <=6 weeks; no lung-function, exacerbation or survival claim",Probable,"Probable (two randomised trials, both <=6 weeks, both sponsor-run; phase 3 ongoing)",2,2,rct,41569557.0,"For patients with IPF-associated chronic cough, all 3 doses of nalbuphine ER reduced objective cough frequency and the 2 higher doses improved patient-reported cough frequency at 6 weeks.",relative change from baseline in 24-hour objective cough frequency at week 6,6.0,,symptoms - cough (E9),False,False,,"nausea, fatigue, constipation and dizziness more common than placebo in the earlier crossover trial (PMID 38320144)",,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,Reclassified from 'Poorly studied' in the Phase 3 retrieval-artefact check (corrections entry C11): the Phase 2 per-entity search had missed the primary report. Graded from the retrieved abstract; full text not read.,,
ND-L02-s0201,I1,1,PHASE2,COMPLETED,2,investigational_drug,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,1,0,non_randomised_trial,31332587.0,All pre- and post-dose samples were found to be negative for ADA.,Detection of anti-drug antibodies (ADA) to surface-exposed components of BMS-986263,3.0,,Detection of anti-drug antibodies (ADA) to surface-exposed components of BMS-986263,True,False,,No immunogenic response detected in normal human subjects administered 90 mg IV once weekly for 3 weeks,,,"1 human studies attributed; strongest non_randomised_trial; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
