id,date,phase,claim_corrected,correction,basis,effect
C19,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),Conflicts register X7 cited PMID 30566847 (telomere length and immunosuppression) as the source of the N-acetylcysteine subgroup hypothesis.,"The primary source is the TOLLIP rs3750920 x N-acetylcysteine interaction analysis of PANTHER-IPF (PMID 26331942): 'NAC therapy was associated with a significant reduction in composite endpoint risk (hazard ratio, 0.14; 95% confidence interval, 0.02-0.83; P = 0.03) in those with a TT genotype'. Both papers are retained as distinct subgroup hypotheses.","Targeted search and record check, Phase 4 2026-09-03. The full text of PMID 26331942 could not be obtained (abstract-level only).",X7 provenance corrected; candidate P10 held at verification and not promoted.
C20,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),Phase 2 recorded the Jinbei oral liquid trial as a randomised trial with a positive effect on total lung capacity.,"Full text verified: 'No primary endpoint was predefined in the clinical trial.' The only significant endpoint among many was total lung capacity, multiplicity uncontrolled, while FVC % predicted, DLco % predicted, 6MWD, SGRQ and PaO2 were not significant.","Full text (doi 10.1038/s41598-025-87474-x) obtained and read, Phase 4 2026-09-03.",Traditional-medicine screen annotated with full-text verification; candidate rejected - no predefined primary endpoint and no accepted IPF efficacy endpoint met.
C21,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),Phase 2 recorded the Baduanjin trial's design as narrative_review_or_mechanistic with n=28 and duration unstated.,"Full text verified: it is a randomised trial, n=28, 8 weeks, unblinded, allocation by opened envelopes, control group received no training, powered only for the 6MWT and described by the authors as exploratory.","Full text (doi 10.1186/s13030-025-00346-8) obtained and read, Phase 4 2026-09-03.","Design, sample-size and duration fields corrected; candidate rejected - the no-exercise comparator cannot separate a Baduanjin-specific effect from the generic effect of exercise training already graded at Probable."
C22,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),"Phase 2 recorded azithromycin's abandonment reason as recruitment_or_operational alongside a null cough result, and M6.1 listed it as abandoned rather than refuted.","The two facts belong to different trials: the null cough result is a completed double-blind randomised crossover trial (NCT02173145, PMID 34015241, 'This randomized controlled trial does not support the use of low-dose azithromycin for chronic cough in patients with IPF'), while the terminated trial was a combination-therapy study (NCT01432080, n=12). The cough question has a randomised answer.","Registry rows for NCT02173145, NCT01432080 and NCT05842681 read from the Phase 0 registry extract, Phase 4 2026-09-03.","Landscape curation note and M6.1 amended; candidate P1 rejected - the abandoned trial is not the source of the signal, and the ongoing large trial NCT05842681 addresses acute exacerbation, a different question."
C23,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),Phase 2 graded bexotegrast as a positive randomised signal below phase 3 (later corrected in C16 to a non-clinical primary endpoint) and Phase 3 listed it among small programmes awaiting adequately sized follow-up (M6.11).,"Bexotegrast is reclassified as 'Harm outweighs benefit'. In BEACON-IPF (NCT06097260, n=319 randomised), terminated on DSMB recommendation, registry-posted results show more disease-progression events on bexotegrast than placebo: 5 of 106 (placebo), 16 of 105 (160 mg) and 25 of 108 (320 mg); Cox hazard ratios versus placebo 3.31 (95% CI 1.21-9.05, p=0.0194) and 5.36 (95% CI 2.05-13.99, p=0.0006). A >=10% absolute FVC decline was also more frequent (odds ratio 3.33, 95% CI 1.03-10.81, p=0.0449 for 160 mg; 3.01, 95% CI 0.91-9.91, p=0.07 for 320 mg). Deaths: 0 of 106, 6 of 105 and 4 of 108; serious adverse events 6, 17 and 21. The week-52 FVC primary endpoint is uninformative because only 1, 1 and 2 participants reached week 52 after early termination.","ClinicalTrials.gov results section for NCT06097260, retrieved 2026-09-03. The Phase 2 search used PubMed only and no peer-reviewed publication of these results was identified, so a registry-results check was required to find them.",Landscape verdict changed Uncertain->Harm outweighs benefit; negative-results register row reclassified to the harm domain; new map statement M2.15; bexotegrast removed from M6.11; candidate P27 rejected as superseded by its own trial. Adds a methodological limitation to Phase 2: PubMed-only searching misses registry-posted results.
C24,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)",GB0139 (and its duplicate row 'inhaled TD139') was graded 'Poorly studied - no IPF-specific human outcome evidence retrieved'.,"GB0139 is graded Failed. GALACTIC-1 (NCT03832946, n=172, quadruple-masked, 128 sites, completed) posts an annual FVC decline of -316.60 mL/year (95% CI -394.86 to -238.35) on GB0139 3 mg versus -127.41 mL/year (95% CI -221.12 to -33.71) on placebo, with respiratory hospitalisations 17 of 102 versus 5 of 70 and SGRQ change +4.201 versus -4.77. No between-arm test is posted, so the unfavourable direction is recorded without a harm verdict (conflicts register X12).","ClinicalTrials.gov posted results section, NCT03832946; PubMed search located no results publication.",New map row M2.16. Negative-results register row added. The evidence was missed in Phase 2 because the per-entity search was PubMed-only and this trial is unpublished.
C25,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)",HZN-825 was graded 'Poorly studied - no IPF-specific human outcome evidence retrieved' with abandoned_reason unknown.,"HZN-825 is graded Failed, abandoned_reason lack_of_efficacy. NCT05032066 (n=153, triple-masked, 82 sites) is null on the primary FVC % predicted endpoint at both doses (-1.13, 95% CI -3.56 to 1.29, p=0.4388; -0.39, 95% CI -2.86 to 2.09, p=0.7959) and the sponsor's stated termination reason is failure to meet primary or key secondary endpoints.","ClinicalTrials.gov posted results and whyStopped field, NCT05032066; no results publication located.",New map row M2.17; negative-results register row added; conflicts register X11 records the discordant secondary endpoints.
C26,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)",orvepitant and gefapixant were both graded 'Poorly studied - no IPF-specific human outcome evidence retrieved'.,"Both are graded Failed on IPF cough. Orvepitant (NCT05185089, n=80 crossover): difference from placebo 0.00 (95% CI -0.62 to 0.63, p=0.989) at 10 mg and -0.58 (95% CI -1.16 to 0.01, p=0.054) at 30 mg. Gefapixant (NCT02502097, published PMID 34152585): no significant reduction in awake objective cough frequency at day 14 (p=0.90).","ClinicalTrials.gov posted results, NCT05185089 and NCT02502097; PubMed PMID 34152585 for gefapixant.","New map row M2.18; two negative-results register rows. The gefapixant miss is a literature-retrieval failure, not a registry-only result: the trial was published in 2021."
C27,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)",autoantibody reductive therapy was graded 'Poorly studied - no IPF-specific human outcome evidence retrieved'.,"Graded Uncertain and held at verification. STRIVE-IPF (NCT03286556) posts six-month survival of 44% (SE 9, n=33) on plasma exchange plus rituximab plus intravenous immunoglobulin versus 7% (SE 6, n=18) on treatment as usual after an acute exacerbation, with serious adverse events 5 of 33 versus 0 of 18 and deaths 18 of 33 versus 16 of 18. The trial is open-label, arms are unequal from 82 enrolled, no baseline lung function or oxygen requirement is posted, no statistical analysis is posted, and only a design paper is published (PMID 38509495).","ClinicalTrials.gov posted results and baseline module, NCT03286556; PMID 38509495, 38464052, 26083430, 34813613; NCT01266317.",New map row M3.15; conflicts register X9; candidate P34 held at verification; retrieval action A10 opened. No statistical test was computed here from the posted counts.
C28,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)","LTP001, ianalumab (VAY736), tanzisertib (CC-90001), tipelukast and belumosudil were graded 'Poorly studied - no IPF-specific human outcome evidence retrieved'.","All five are graded Uncertain: randomised IPF data exist and show no signal of benefit, but each trial is too small or too truncated to be decisive. LTP001 n=46 (terminated, sponsor decision); ianalumab n=30 (terminated, sponsor decision, FVC difference 0.063 L, p=0.3248); tanzisertib n=112 dosed (terminated on a strategic decision; ppFVC differences 1.1 and 2.2, p=0.50 and 0.19, published PMID 38484130); tipelukast n=15; belumosudil open-label with no posted comparison.","ClinicalTrials.gov posted results NCT05497284, NCT03287414, NCT03142191, NCT02503657, NCT02688647; PubMed PMID 38484130.",New map row M3.16; five negative-results register rows; candidates P36-P40 rejected on the original S4 screen. The tanzisertib miss is a literature-retrieval failure - the trial was published in 2024.
C29,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)",sodium pyruvate (nasal) was graded 'Poorly studied - no IPF-specific human outcome evidence retrieved'.,"Graded Uncertain and held at verification. NCT06037408 (n=50, one site) posts a -57.13 percentage-point between-arm difference in daily coughing episodes (95% CI -63.99 to -50.27, p=0.0001) over 21 days, a 27.9% versus 2.73% rise in the FEV1/FVC ratio, and zero adverse events in both arms, with no publication and no described cough-measurement method. Recorded as an unverified claim, not as evidence of benefit.","ClinicalTrials.gov posted results, NCT06037408; PubMed search located no publication.",New map row M3.17; conflicts register X10; candidate P35 held at verification; retrieval action A11 opened.
C30,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)",The record treated IPF evidence as either published or absent.,"A third class is recorded: results posted to a registry with no between-arm analysis, no publication, or both. It covers at least nine entities here, including two adequately sized phase 2 trials and the only randomised survival result in acute exacerbations. Such postings are primary sources and were graded as such, but where no analysis and no report exist the evidence can be described and not weighed.",ClinicalTrials.gov posted results sections of 116 IPF trials fetched in action A5; ipf_phase6_registry_results_sweep.csv.,New map row M5.13; new limitation L6.
C31,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)",Map row M5.9 stated that 208 landscape rows remained 'Poorly studied'.,"After the A5 sweep, 12 entities were reclassified (4 Failed, 8 Uncertain) and 2 were duplicate name strings, leaving 194 'Poorly studied' rows. The row now states this and keeps the reading that the count is an upper bound on genuine absence of evidence.",ipf_phase2_landscape.csv verdict tallies before and after action A5.,"M5.9 amended. The direction of the earlier caveat is confirmed, not reversed: absence of evidence in this record was again partly a retrieval artefact."
C32,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)","rituximab was graded 'Poorly studied - no IPF-only monotherapy human evidence; appears only in combination or pooled sources', with key_result_pmid 32777737.","Graded Uncertain. An IPF-specific triple-masked randomised monotherapy trial exists (NCT01969409, n=58): it met its autoantibody-titre primary endpoint (177 versus 288) and showed no benefit on FVC (2.5 versus 2.6 L), absolute survival (93% versus 93%) or transplant-free survival (90% versus 89%), with 12 versus 6 hospital admissions and 9 of 30 versus 5 of 28 serious adverse events. PMID 32777737 is EVER-ILD in non-specific interstitial pneumonia and is indirect evidence, not IPF.","ClinicalTrials.gov posted results, NCT01969409; PMID 32777737 abstract.",Negative-results register row added; conflicts register X9 pairs this null against the STRIVE-IPF survival signal; candidate P41 rejected on S4.
C33,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)",The landscape carried duplicate entities created by separate Phase 2 name strings.,"Three duplicates are marked: 'inhaled TD139' is GB0139; 'corticosteroids, plasma exchange, and rituximab' is a word-order variant of the autoantibody-reduction regimen; 'telenursing and remote monitoring' is the same trial as 'telenursing'. Each duplicate row now carries verdict_class 'Duplicate (merged into ...)' and a duplicate_of field, so it is not counted as a separate intervention.","Development-code and regimen matching during the A5 sweep; NCT03832946, NCT02257177, NCT03286556, NCT01266317, NCT03562247.",Entity count corrected: 281 rows contain 278 distinct interventions. Verdict tallies exclude duplicates.
C34,2026-09-03,"Phase 6 (action A5, correcting Phase 2, Phase 3 and Phase 4)","Four entities were graded on trials that are not IPF treatment trials, and voxelotor's abandonment reason was 'unknown'.","EZ-2053 (lung allograft rejection prophylaxis) and letermovir (CMV prophylaxis after lung transplantation) are labelled out of the IPF treatment scope and retained only because the registry condition field lists IPF. Bardoxolone methyl's only posted trial (LARIAT, NCT02036970) studied pulmonary hypertension with a 6-minute-walk primary endpoint (difference -1.74 m, 95% CI -16.22 to 12.74, p=0.8133) and inhaled treprostinil's posted trial enrolled ILD with pulmonary hypertension; both are labelled indirect. Voxelotor's abandoned_reason is corrected to lack_of_efficacy on the sponsor's stated ground ('Study was terminated due to lack of clinically meaningful benefit'), with no outcome data posted.","ClinicalTrials.gov protocol and results sections, NCT00105183, NCT05041426, NCT02036970, NCT00705133, NCT02989168.","Scope labels prevent transplant-management and pulmonary-hypertension results from being read as IPF treatment evidence. Voxelotor's stopping reason is now classified, while its underlying data remain missing."
C35,2026-09-03,Phase 6 (action A4),"The traditional-medicine screen was described as resting on English-indexed records, with the size of the missing Chinese-language literature unknown.","The gap is now quantified from English-indexed systematic reviews that pooled Chinese-database trials: 63 randomised trials of Chinese medicine injections (PMID 35881610), 20 trials in 1363 patients across four injection products (PMID 36451506), 23 trials in 1390 patients of qi-supplementing and blood-activating herbs (PMID 35245333), 11 trials in 981 patients of external TCM treatment (PMID 41088620), a Chinese-herb-versus-N-acetylcysteine comparison in 733 patients (PMID 31312224), and an overview of reviews covering 15550 participants (PMID 37235494). Not one Chinese medicine injection product appears in the landscape, and the herbal-versus-N-acetylcysteine comparison is absent from the record. These reviews are secondary sources and their own quality statements are cautionary (limited number and quality of included studies), so no verdict is assigned to any of this evidence here.","PubMed searches for Chinese herbal medicine, TCM injections, acupuncture and exercise interventions in IPF; abstracts of the six reviews listed; register ipf_phase6_chinese_language_coverage.csv. ClinicalTrials.gov mirror not applicable - these trials are registered in ChiCTR or unregistered.","New map row M5.14; new limitation L7; retrieval action A12 opened. The landscape's 'Poorly studied' count remains an upper bound on genuine absence of evidence, and this correction identifies where the largest single block of unexamined randomised evidence sits."
C36,2026-09-03,"Phase 6 (actions A2, A3, A4)","Kangxian Huanji Granule (PMID 37993378) was graded from a partial abstract, with the trial design not established.","The full structured abstract is retrieved: a randomised, double-blind, placebo-controlled exploratory trial, n=80, 10 g twice daily for 4 weeks added to conventional treatment in acute exacerbation of IPF, followed 12 weeks, registered as ChiCTR1900026289. Co-primary endpoints were treatment failure and all-cause mortality: treatment failure at 4 weeks RR 0.22 (95% CI 0.051-0.965, P=0.023); all-cause mortality at 16 weeks RR 0.75 (95% CI 0.179-3.138, P>0.999); acute exacerbation rate RR 0.69 (95% CI 0.334-1.434, P=0.317); length of hospitalisation -3.30 days (95% CI -6.300 to -0.300, P=0.032); mMRC -0.67 (95% CI -0.89 to -0.44, P<0.001) and SGRQ-I -10.36 (95% CI -16.483 to -4.228, P=0.001) at 4 weeks.",Publisher abstract for doi 10.1016/j.joim.2023.11.003 retrieved via DOI resolution; full text remains closed access with no open-access or PubMed Central copy.,"Candidate P17 stays held at verification (screen S5): the design is now known but the full text, the ChiCTR record and any independent replication are still unavailable. The verdict remains Uncertain; the mortality endpoint is null and only the treatment-failure endpoint is positive, so the trial is not evidence of a survival effect."
C37,2026-09-03,"Phase 6 (actions A2, A3, A4)",Full text of PMID 26331942 (TOLLIP x N-acetylcysteine interaction) was recorded as unobtainable.,"The PubMed Central deposit was retrieved but contains front matter and the abstract only (the article is closed access with no body text). The record's quoted values are now confirmed against the primary abstract: interaction P=0.001 for rs3750920; composite-endpoint hazard ratio 0.14 (95% CI 0.02-0.83, P=0.03) in TT patients and 3.23 (95% CI 0.79-13.16, P=0.10) in CC patients, with replication in an independent cohort and an explicit author call for a genotype-stratified prospective trial before any off-label recommendation.","PubMed Central deposit for doi 10.1164/rccm.201505-1010OC (4.5 kB, abstract only); PubMed abstract.","Candidate P10 stays unpromoted, but its reason changes: the numbers are verified, while the genotype subgroup sizes, whether the interaction was prespecified, and the replication cohort's composition remain unverifiable without publisher access. The genotype-stratified trial the authors asked for exists and is complete but unreported (PRECISIONS, action A1), so the smallest next step is retrieval, not a new trial."
