nct,title,phase,enroll,status,why,completion,n_primary,primary_titles,n_analyses,iv_match,record_state,sweep_outcome
NCT02598193,Safety and Tolerability Study of Pirfenidone in Combination With Nintedanib in Participants With Idiopathic Pulmonary Fibrosis (IPF),PHASE4,89,COMPLETED,,2017-05-16,1,Percentage of Participants Who Complete 24 Weeks of Combination Treatment on Pirfenidone a,0,pirfenidone; nintedanib,"pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14 || nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT02738801,"Study to Assess Safety, Tolerability, Pharmacokinetic and Pharmacodynamic Properties of GLPG1690 in Subjects With Idiopathic Pulmonary Fibrosis (IPF)",PHASE2,23,COMPLETED,,2017-05-02,7,Number of Patients With Treatment-Emergent Adverse Events (AEs) || Mean Maximum Observed Plasma Concentration (Cmax; Micrograms Per Milliliter [µg/mL]) of GL || Median Time to Occurrence of GLPG1690 Cmax (Tmax; Hours [h]) || Mean Area Under the Plasma Concentration-Time Curve (AUC[t]; µg.h/mL) of GLPG1690 || Mean GLPG1690 Plasma Concentration Observed at Predose (Ctrough; µg/mL) || Mean Peak Area Ratio of Lysophosphatidic Acid (LPA) C18:2 Species in Blood || Mean Peak Area Ratio of LPA C18:2 Species in Bronchoalveolar Lavage Fluid (BALF),0,ziritaxestat,,already graded on published evidence - no change
NCT00517933,Sildenafil Trial of Exercise Performance in Idiopathic Pulmonary Fibrosis,PHASE3,180,COMPLETED,,2009-05,1,Change in 6-minute Walk Distance From Enrollment to Week 12 (≥ 20% Improvement),15,sildenafil,sildenafil [Failed/null in the overall IPF population and in an enriched pulmonary-hypertension-risk population; the right-heart-dysfunction subgroup hypothesis showed no treatment-by-subgroup heterogeneity when tested] pmid=32822614.0 posted=5,already graded on published evidence - no change
NCT05130970,"Garadacimab Safety, Pharmacokinetics, and Pharmacodynamics in Idiopathic Pulmonary Fibrosis",PHASE2,81,COMPLETED,,2024-01-02,8,Number of Participants With Treatment-emergent (TE) Serious Adverse Events (SAEs) || Percentage of Participants With TE SAEs || Number of Participants With TE Adverse Events of Special Interests (AESIs) || Percentage of Participants With TE-AESIs || Number of Participants With Garadacimab Induced Anti Drug Antibodies (ADAs) in Plasma || Percentage of Participants With Garadacimab Induced ADAs in Plasma || Number of Participants With TE Clinically Significant Abnormalities in Laboratory Assessme || Percentage of Participants With TE Clinically Significant Abnormalities in Laboratory Asse,0,garadacimab,garadacimab [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,confirmation - non-clinical primary endpoint
NCT01979952,Nintedanib Twice Daily vs Placebo in Patients Diagnosed With Idiopathic Pulmonary Fibrosis (IPF),PHASE3,113,COMPLETED,,2016-10-27,1,Relative Change From Baseline in High Resolution Computerized Tomography (HRCT) Quantitati,7,nintedanib,"nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT06717100,Study to Determine Potential for Drug-drug Interactions When Co-administering Deupirfenidone (LYT-100) and Nintedanib,PHASE1,24,COMPLETED,,2025-02-17,3,AUC of LYT-100 and Nintedanib || Tmax of LYT-100 and Nintedanib || Cmax of LYT-100 and Nintedanib,0,deupirfenidone; nintedanib,"deupirfenidone [Uncertain/single phase 2b trial positive on a 26-week FVC endpoint; no phase 3 result exists] pmid=42085224.0 posted=0 || nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT02846324,Study to Evaluate the Safety and Tolerability of GBT440 Administered to Subjects With IPF,PHASE2,39,COMPLETED,,2017-09,1,Number of Participants With Treatment-related Adverse Events as Assessed by CTCAE v4.03,0,voxelotor,,stopping reason classified as lack of efficacy; no outcome data posted (C34)
NCT01442779,Clinical Trial of Low Dose Oral Interferon Alpha in Idiopathic Pulmonary Fibrosis,PHASE2,18,COMPLETED,,2007-05,2,Minimal/no Progression (1 yr) by High Resolution Computed Tomography (HRCT) & Pulmonary Fu || Minimal/no Change in Quality of Life,0,interferon alpha (oral); interferon alpha,interferon alpha (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || interferon alpha [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0 || jaktinib (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0,"confirmation - single-arm, no comparator"
NCT02036580,D2212C00002 J-Phase II Study,PHASE2,37,COMPLETED,,2015-11,1,Safety and Tolerability Primarily Assessed by the Number of Patients With Adverse Events,0,tralokinumab,tralokinumab [Uncertain/null result that size or phase cannot make decisive] pmid=28787186.0 posted=4,already graded on published evidence - no change
NCT01385644,A Study to Evaluate the Potential Role of Mesenchymal Stem Cells in the Treatment of Idiopathic Pulmonary Fibrosis,PHASE1,8,COMPLETED,,2013-05,1,Number of Participants Who Demonstrated Acute Adverse Events Following Infusion,0,mesenchymal stem cells,"mesenchymal stem cells [Uncertain/randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal] pmid=27890713.0 posted=1",already graded on published evidence - no change
NCT01417156,Safety and PK Study of BIBF 1120 in Japanese Patients With IPF: Follow up Study From 1199.31(NCT01136174),PHASE2,20,COMPLETED,,2015-10,1,Incidence of Overall Adverse Events,0,nintedanib,"nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT00703339,Effects of Inhaled Treprostinil Sodium for the Treatment of Pulmonary Hypertension Associated With Idiopathic Pulmonary Fibrosis,PHASE2,1,TERMINATED,Lack of enrollment to the trial. Very difficult population to recruit.,2009-12,1,Safety and Tolerability of Inhaled Treprostinil Sodium in Patients With Pulmonary Hyperten,0,inhaled treprostinil,"beclometasone/formoterol (inhaled) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0 || inhaled treprostinil [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=41812190.0 posted=2 || ARO-MMP7 (inhaled) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1",indirect - ILD with pulmonary hypertension population (C34)
NCT02606877,A Study to Compare the Amount of Nintedanib and Pirfenidone in the Blood When Nintedanib and Pirfenidone Are Given Separately or in Combination,PHASE4,37,COMPLETED,,2017-03-22,4,"Treatment naïve, Area Under the Concentration-time Curve of the Nintedanib in Plasma Over  || Treatment naïve, Maximum Measured Concentration of Nintedanib in Plasma After Single Dose  || Pirfenidone-treated, Area Under the Concentration-time Curve of Pirfenidone in Plasma Over || Pirfenidone-treated, Maximum Measured Concentration of Pirfenidone in Plasma at Steady Sta",5,pirfenidone; nintedanib,"pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14 || nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT01766817,Safety and Efficacy of a Lysophosphatidic Acid Receptor Antagonist in Idiopathic Pulmonary Fibrosis,PHASE2,325,COMPLETED,,2016-02-29,1,Change From Baseline in Forced Vital Capacity (FVC) Rate to Week 26,0,BMS-986020,BMS-986020 [Uncertain/positive randomised signal below phase 3] pmid=30201408.0 posted=1,already graded on published evidence - no change
NCT00391443,BUILD 3: Bosentan Use in Interstitial Lung Disease,PHASE3,616,COMPLETED,,2010-02,1,Time to Occurrence of Disease Worsening or Death up to End of Study.,2,bosentan,"bosentan [Failed/two phase 3 randomised trials null on their own primary endpoints (BUILD-1, BUILD-3)] pmid=21474646.0 posted=2",already graded on published evidence - no change
NCT03503188,Digital Auscultation Test - IPF Data Collection,PHASE4,274,COMPLETED,,2019-01-03,1,Main Study - The Percentage of Collected Auscultation Points,0,,,"no landscape entity matched - observational, imaging or monitoring study"
NCT03733444,A Clinical Study to Test How Effective and Safe GLPG1690 is for Participants With Idiopathic Pulmonary Fibrosis (IPF) When Used Together With Standard,PHASE3,781,TERMINATED,The benefit-risk profile no longer supports continuing the study,2021-03-30,1,Annual Rate of Decline in Forced Vital Capacity (FVC) up to Week 52,26,ziritaxestat,,already graded on published evidence - no change
NCT00957242,AntiCoagulant Effectiveness in Idiopathic Pulmonary Fibrosis,PHASE3,145,TERMINATED,Excess of mortality in the treatment group created safety concerns.,2011-07,1,"Death, Non-bleeding/Non-elective Hospitalization, or >10% Drop in Forced Vital Capacity",12,warfarin,warfarin [Harm outweighs benefit/randomised evidence of excess harm in IPF] pmid=22561965.0 posted=1,already graded on published evidence - no change
NCT03832946,A Study to Test the Efficacy and Safety of Inhaled GB0139 in Subjects With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,172,COMPLETED,,2023-05-17,1,Annual Rate of Decline in Forced Vital Capacity (FVC),0,GB0139,beclometasone/formoterol (inhaled) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0 || ARO-MMP7 (inhaled) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || GB0139 [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,material correction - graded Failed (C24)
NCT01335464,Safety and Efficacy of BIBF 1120 at High Dose in Idiopathic Pulmonary Fibrosis Patients,PHASE3,515,COMPLETED,,2013-10,1,Annual Rate of Decline in Forced Vital Capacity (FVC) Over 52 Weeks,26,nintedanib,,already graded on published evidence - no change
NCT03725852,A Clinical Study to Test How Effective and Safe GLPG1205 is for Participants With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,68,COMPLETED,,2020-07-21,1,Change From Baseline in Forced Vital Capacity (FVC) at Week 26,15,GLPG1205,GLPG1205 [Uncertain/null result that size or phase cannot make decisive] pmid=36328358.0 posted=1,already graded on published evidence - no change
NCT01214187,Study of Inhaled Carbon Monoxide to Treat Idiopathic Pulmonary Fibrosis,PHASE2,58,COMPLETED,,2014-10,1,Serum MMP7 Level,5,inhaled carbon monoxide; oxygen,beclometasone/formoterol (inhaled) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0 || inhaled carbon monoxide [Uncertain/null result that size or phase cannot make decisive] pmid=29100885.0 posted=1 || ARO-MMP7 (inhaled) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || oxygen [Uncertain/acute improvement in exercise endurance and desaturation in small crossover trials; no evidence on progression or survival] pmid=32367694.0 posted=1,already graded on published evidence - no change
NCT02951429,"Efficacy, Safety, and Tolerability Study of Pirfenidone in Combination With Sildenafil in Participants With Advanced Idiopathic Pulmonary Fibrosis (IP",PHASE2,177,COMPLETED,,2019-09-26,1,"Percentage of Participants With Disease Progression, as Determined by Relevant Decline in ",12,pirfenidone; sildenafil,pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14 || sildenafil [Failed/null in the overall IPF population and in an enriched pulmonary-hypertension-risk population; the right-heart-dysfunction subgroup hypothesis showed no treatment-by-subgroup heterogeneity when tested] pmid=32822614.0 posted=5,already graded on published evidence - no change
NCT00768300,"(ARTEMIS-IPF) Randomized, Placebo-Controlled Study to Evaluate Safety and Effectiveness of Ambrisentan in IPF",PHASE3,494,TERMINATED,Lack of efficacy,2011-02,1,Time to Death or Disease (IPF) Progression.,5,ambrisentan,ambrisentan [Harm outweighs benefit/randomised evidence of excess harm in IPF] pmid=23648946.0 posted=2,already graded on published evidence - no change
NCT03865927,GKT137831 in IPF Patients With Idiopathic Pulmonary Fibrosis,PHASE2,58,COMPLETED,,2024-11-30,1,Surrogate Biomarker of Oxidative Stress by Mass Spectroscopy,0,setanaxib,interferon alpha (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || jaktinib (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0,confirmation - non-clinical primary endpoint
NCT00879229,ARTEMIS-PH - Study of Ambrisentan in Subjects With Pulmonary Hypertension Associated With Idiopathic Pulmonary Fibrosis,PHASE3,40,TERMINATED,,2011-02,1,Change From Baseline in Six-minute Walk Distance (6MWD).,1,ambrisentan,ambrisentan [Harm outweighs benefit/randomised evidence of excess harm in IPF] pmid=23648946.0 posted=2,already graded on published evidence - no change
NCT03261037,A Study to Characterize the Disease Behavior of Idiopathic Pulmonary Fibrosis (IPF) and Interstitial Lung Disease (ILD) During the Peri-Diagnostic Per,NA,178,COMPLETED,,2019-11-27,1,Time-Adjusted Semi-Annual Forced Vital Capacity (FVC) Decline in Participants With IPF Dur,0,,,"no landscape entity matched - observational, imaging or monitoring study"
NCT01759511,Long-Term Safety Study of GS-6624 in Adults With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,34,TERMINATED,The Study was terminated due to lack of efficacy.,2016-02-19,1,Overall Safety Profile of Simtuzumab,0,simtuzumab,"simtuzumab [Failed/adequately sized randomised evidence, null] pmid=27939076.0 posted=2",already graded on published evidence - no change
NCT04419558,Zephyrus II: Efficacy and Safety Study of Pamrevlumab in Participants With Idiopathic Pulmonary Fibrosis (IPF),PHASE3,372,TERMINATED,Sponsor Decision,2023-09-04,1,DB Period: Change From Baseline in FVC at Week 48,1,pamrevlumab,"pamrevlumab [Failed/phase 2 positive, adequately sized phase 3 null on the same endpoint; the phase 3 supersedes] pmid=38762797.0 posted=3",already graded on published evidence - no change
NCT03538301,"JUNIPER: A Phase 2 Study to Evaluate the Safety, Biological Activity, and PK of ND-L02-s0201 in Subjects With IPF",PHASE2,123,COMPLETED,,2022-08-24,1,Number of Participants Discontinuing Study Treatment Due to TEAEs,42,ND-L02-s0201,ND-L02-s0201 [Poorly studied/no IPF-only monotherapy human evidence; appears only in combination or pooled sources] pmid=31332587.0 posted=2,already graded on published evidence - no change
NCT01335477,Safety and Efficacy of BIBF 1120 at High Dose in Idiopathic Pulmonary Fibrosis Patients II,PHASE3,551,COMPLETED,,2013-10,1,Annual Rate of Decline in Forced Vital Capacity (FVC) Over 52 Weeks.,26,nintedanib,,already graded on published evidence - no change
NCT05938920,Study Evaluating INS018_055 Administered Orally to Subjects With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,71,COMPLETED,,2024-08-08,1,Percentage of Participants Who Had at Least 1 Treatment-emergent Adverse Event (TEAE),16,INS018_055,INS018_055 [Uncertain/phase 2a with a safety primary endpoint; the FVC signal is exploratory and dose-restricted] pmid=40461817.0 posted=1,already graded on published evidence - no change
NCT02503657,"Safety, Tolerability, and Efficacy of MN-001 (Tipelukast) in Patients With Idiopathic Pulmonary Fibrosis",PHASE2,15,COMPLETED,,2020-12-07,5,Absolute Change From Baseline in Forced Vital Capacity for 26 Weeks || Percent Change in Forced Vital Capacity From Baseline to Week 26 || Absolute Change From Baseline in Forced Vital Capacity (% Predicted) || Relative Change From Baseline in Percent Predicted Forced Vital Capacity From Baseline to  || Semiannual Rate of Decline of Disease Activity Based on Forced Vital Capacity,0,tipelukast,tipelukast [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,material correction - graded Uncertain (C28)
NCT02802345,Efficacy and Safety of Nintedanib Co-administered With Sildenafil in Idiopathic Pulmonary Fibrosis Patients With Advanced Lung Function Impairment,PHASE3,274,COMPLETED,,2017-12-19,1,Change From Baseline in St George's Respiratory Questionnaire (SGRQ) Total Score at Week 1,6,nintedanib; sildenafil,"nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24 || sildenafil [Failed/null in the overall IPF population and in an enriched pulmonary-hypertension-risk population; the right-heart-dysfunction subgroup hypothesis showed no treatment-by-subgroup heterogeneity when tested] pmid=32822614.0 posted=5",already graded on published evidence - no change
NCT03711162,A Clinical Study to Test How Effective and Safe GLPG1690 is for Subjects With Idiopathic Pulmonary Fibrosis (IPF) When Used Together With Standard of ,PHASE3,525,TERMINATED,The benefit-risk profile no longer supports continuing the study,2021-03-30,1,Annual Rate of Decline in FVC up to Week 52,26,ziritaxestat,,already graded on published evidence - no change
NCT00903331,Macitentan Use in an Idiopathic Pulmonary Fibrosis Clinical Study,PHASE2,178,COMPLETED,,2011-06,1,Forced Vital Capacity (FVC) at Baseline and End of Period 1,2,macitentan,macitentan [Uncertain/null result that size or phase cannot make decisive] pmid=23682110.0 posted=1,already graded on published evidence - no change
NCT01266317,"Combined PEX, Rituximab and Steroids in Acute Idiopathic Pulmonary Fibrosis Exacerbations","PHASE1,PHASE2",9,COMPLETED,,2015-07,1,Number of Participants With Respiratory and/or Hemodynamic Deteriorations,0,rituximab,rituximab [Poorly studied/no IPF-only monotherapy human evidence; appears only in combination or pooled sources] pmid=32777737.0 posted=1,material correction - graded Uncertain (C32)
NCT01254409,A Phase 1b Study of IV PRM151 in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE1,21,COMPLETED,,2012-07-02,1,Safety and Tolerability,0,zinpentraxin alfa,,already graded on published evidence - no change
NCT01629667,"A Phase 2, Randomized Dose-ranging Study to Evaluate the Efficacy of Tralokinumab in Adults With Idiopathic Pulmonary Fibrosis",PHASE2,409,TERMINATED,Early termination of the study due to lack of efficacy.,2015-05,1,Change From Baseline in Percent-predicted Forced Vital Capacity (FVC) at Week 52,2,tralokinumab,tralokinumab [Uncertain/null result that size or phase cannot make decisive] pmid=28787186.0 posted=4,already graded on published evidence - no change
NCT05497284,To Assess the Efficacy of the Investigational Products Compared to Placebo in Participants With IPF,PHASE2,46,TERMINATED,Sponsor Decision,2024-08-26,1,Change From Baseline to End of Treatment Epoch in Forced Vital Capacity (FVC) Expressed in,1,LTP001,LTP001 [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,material correction - graded Uncertain (C28)
NCT00359736,Sildenafil Study to Treat Idiopathic Pulmonary Fibrosis,PHASE2,29,COMPLETED,,2008-10,1,Change in 6-minute Walk Test,0,sildenafil,sildenafil [Failed/null in the overall IPF population and in an enriched pulmonary-hypertension-risk population; the right-heart-dysfunction subgroup hypothesis showed no treatment-by-subgroup heterogeneity when tested] pmid=32822614.0 posted=5,already graded on published evidence - no change
NCT02019641,The NIH Exercise Therapy for Advanced Lung Disease Trials: Response and Adaptation to Aerobic Exercise in Patients With Interstitial Lung Disease,NA,46,COMPLETED,,2020-04-02,1,Change in 6-minute Walk Test Distance (6MWD),0,education,education [Poorly studied/no IPF-only monotherapy human evidence; appears only in combination or pooled sources] pmid=39440394.0 posted=1,already graded on published evidence - no change
NCT04533022,"Safety, Efficacy and Pharmacokinetics of C21 in Subjects With IPF",PHASE2,52,COMPLETED,,2024-03-30,1,Number of Participants With Adverse Events Occurring Over the Trial Period,0,C21,,confirmation - non-clinical primary endpoint
NCT00879879,Losartan in Treating Patients With Idiopathic Pulmonary Fibrosis,NA,20,COMPLETED,,2012-03,1,Number of Participants With Stable or Improved Forced Vital Capacity (FVC) Response at 1 Y,0,losartan,losartan [Uncertain/non-randomised or indirect human evidence only] pmid=22810758.0 posted=2,already graded on published evidence - no change
