pmid,year,journal,title,design,population,outcome_e_code_mapped,outcome_ineligible,registration_stated,n_reported,duration_reported,tier,tier_reason,abstract_retrievable,risk_of_bias_tool,risk_of_bias_judgement,found_by,pubtypes,tier_manually_corrected,reported_direction_by_authors,intervention_named,fulltext_verified,fulltext_verification_note
32744035,2020,J Tradit Chin Med,"Effects of Qizhukangxian granules on idiopathic pulmonary fibrosis: a randomized, double blind, placebo-controlled and multicenter clinical pilot trial.",randomised_human,ipf_only,True,False,False,120.0,48 weeks,T2,"randomised, IPF-only, eligible outcome; registration or allocation concealment not documented in the retrievable record",True,Cochrane RoB 2,high or some concerns - allocation concealment and blinding not described in the retrievable record,tcm_herbal_trials,"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",False,authors report at least one statistically significant benefit,Qizhukangxian granules,,
32991463,2020,Medicine (Baltimore),Multiple Traditional Chinese Medicine interventions for idiopathic pulmonary fibrosis: A protocol for systematic review and meta-analysis of overview.,meta_analysis/SR,ipf_only,True,False,False,,,T2,pooled synthesis; tier follows population and outcome eligibility of the pooled set,True,not applicable,,tcm_any,Journal Article,False,direction not stated in the retrievable record,multiple TCM interventions (pooled),,
29335860,2019,Chin J Integr Med,Effectiveness and Safety of Chinese Medicine for Idiopathic Pulmonary Fibrosis: A Systematic Review and Meta-Analysis.,meta_analysis/SR,ipf_only,True,False,False,25.0,,T2,pooled synthesis; tier follows population and outcome eligibility of the pooled set,True,not applicable,,tcm_herbal_trials|tcm_any,Journal Article|Meta-Analysis|Systematic Review,False,authors report mixed significant and non-significant outcomes,Chinese medicine (pooled),,
30942008,2019,Zhongguo Zhen Jiu,[Umbilical moxibustion for patients with idiopathic pulmonary fibrosis complicated with gastroesophageal reflux of lung-spleen qi deficiency].,randomised_human,ipf_only,True,False,False,116.0,12 weeks,T2,"randomised, IPF-only, eligible outcome; registration or allocation concealment not documented in the retrievable record",True,Cochrane RoB 2,high or some concerns - allocation concealment and blinding not described in the retrievable record,mindbody,Journal Article|Randomized Controlled Trial,False,authors report mixed significant and non-significant outcomes,umbilical moxibustion,,
28459237,2016,J Tradit Chin Med,Effects of Feiwei granules in the treatment of idiopathic pulmonary fibrosis: a randomized and placebo-controlled trial.,randomised_human,ipf_only,True,False,False,,6 months,T2,"randomised, IPF-only, eligible outcome; registration or allocation concealment not documented in the retrievable record",True,Cochrane RoB 2,high or some concerns - allocation concealment and blinding not described in the retrievable record,tcm_herbal_trials,Journal Article|Randomized Controlled Trial,False,authors report no significant benefit,Feiwei granules,,
39801926,2025,Int J Gen Med,Traditional Chinese Medicine Ion Introduction Therapy Reduces the Incidence of Acute Exacerbation of Idiopathic Pulmonary Fibrosis: A Prospective Cohort Study.,case_report,ipf_only,True,False,False,,,T3,non-randomised human evidence,True,not applicable,,tcm_herbal_trials,Case Reports|Clinical Trial|Journal Article,False,authors report mixed significant and non-significant outcomes,,,
41151646,2025,Respir Med,The effectiveness of deep lung support as an adjuvant therapy to pirfenidone on respiratory symptoms in patients with idiopathic pulmonary fibrosis: A randomized clinical,randomised_human,mixed_or_other,True,False,False,,3 months,T3,randomised but mixed or non-IPF population (indirect under L1),True,Cochrane RoB 2,high or some concerns - allocation concealment and blinding not described in the retrievable record,tcm_herbal_trials,Journal Article|Randomized Controlled Trial,False,authors report at least one statistically significant benefit,,,
38163807,2024,Mymensingh Med J,A Rare Case of Primary Sjogren's Syndrome with Idiopathic Pulmonary Fibrosis with Variable Presentations: A case report.,case_report,mixed_or_other,True,False,False,,,T3,non-randomised human evidence,True,not applicable,,natural_product_trials_broad,Case Reports|Journal Article,False,authors report at least one statistically significant benefit,,,
38728523,2024,Medicine (Baltimore),"Exploring the efficacy and molecular mechanism of Danhong injection comprehensively in the treatment of idiopathic pulmonary fibrosis by combining meta-analysis, network ",meta_analysis/SR,ipf_only,False,False,False,896.0,,T3,pooled synthesis; tier follows population and outcome eligibility of the pooled set,True,not applicable,,tcm_herbal_trials|natural_product_trials_broad,Journal Article|Meta-Analysis,False,authors report at least one statistically significant benefit,,,
38980870,2024,J Clin Invest,A fibroblast-dependent TGF-β1/sFRP2 noncanonical Wnt signaling axis promotes epithelial metaplasia in idiopathic pulmonary fibrosis.,non_randomised_human,mixed_or_other,False,False,False,,,T3,non-randomised human evidence,True,not applicable,,natural_product_trials_broad,"Journal Article|Clinical Trial|Research Support, U.S. Gov't, P.H.S.|Research Support, N.I.H., Extramural",False,direction not stated in the retrievable record,,,
36857968,2023,EBioMedicine,"Senolytics dasatinib and quercetin in idiopathic pulmonary fibrosis: results of a phase I, single-blind, single-center, randomized, placebo-controlled pilot trial on feas",randomised_human,ipf_only,False,False,True,,,T3,"randomised and IPF-only, but the reported primary outcome is adverse events and feasibility in 12 participants; no efficacy outcome mapping to an E-code, so it cannot support an efficacy statement (preserved, not deleted)",True,Cochrane RoB 2,"some concerns - assessed from abstract only, full text not retrieved",natural_product_trials_broad,"Randomized Controlled Trial|Clinical Trial, Phase I|Journal Article",True,direction not stated in the retrievable record,,,
35594703,2022,Biomed Pharmacother,The influence of green tea extract on nintedanib's bioavailability in patients with pulmonary fibrosis.,randomised_human,ipf_only,False,False,False,,,T3,randomised but mixed or non-IPF population (indirect under L1),True,Cochrane RoB 2,high or some concerns - allocation concealment and blinding not described in the retrievable record,natural_product_trials|natural_product_trials_broad,Journal Article|Randomized Controlled Trial,False,authors report mixed significant and non-significant outcomes,,,
33996870,2021,Front Nutr,Case Report: Efficacy of Ninjin'yoeito Treatment for Idiopathic Pulmonary Fibrosis.,case_report,ipf_only,False,False,False,,12 weeks,T3,non-randomised human evidence,True,not applicable,,ayurveda_other,Case Reports|Journal Article,False,direction not stated in the retrievable record,,,
30616998,2019,EBioMedicine,"Senolytics in idiopathic pulmonary fibrosis: Results from a first-in-human, open-label, pilot study.",randomised_human,ipf_only,True,False,True,16.0,,T3,"open-label single-arm pilot study, not randomised (the classifier matched 'randomized' text elsewhere in the record)",True,Cochrane RoB 2,"some concerns - assessed from abstract only, full text not retrieved",natural_product_trials_broad,Clinical Trial|Journal Article,True,authors report at least one statistically significant benefit,,,
30624191,2019,Perm J,Prolonged Survival in a Patient with Idiopathic Pulmonary Fibrosis Receiving Acupuncture and DHEA-Promoting Herbs with Conventional Management: A Case Report.,case_report,ipf_only,True,False,False,,,T3,non-randomised human evidence,True,not applicable,,mindbody,Case Reports|Journal Article,False,direction not stated in the retrievable record,,,
25381634,2015,Lung,"Radiological characteristics, histological features and clinical outcomes of lung cancer patients with coexistent idiopathic pulmonary fibrosis.",non_randomised_human,mixed_or_other,False,False,False,,,T3,non-randomised human evidence,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
26495997,2015,J Altern Complement Med,Acupuncture Treatment for Dyspnea due to Combined Pulmonary Fibrosis and Emphysema: A Case Report.,case_report,ipf_only,True,False,False,,10 weeks,T3,non-randomised human evidence,True,not applicable,,mindbody,Case Reports|Journal Article,False,authors report no significant benefit,,,
25316130,2014,J Biol Regul Homeost Agents,Gastrointestinal symptoms in idiopathic pulmonary fibrosis patients treated with pirfenidone and herbal medicine.,randomised_human,ipf_only,False,False,False,,8 weeks,T3,randomised but mixed or non-IPF population (indirect under L1),True,Cochrane RoB 2,high or some concerns - allocation concealment and blinding not described in the retrievable record,tcm_herbal_trials,Comparative Study|Journal Article|Randomized Controlled Trial,False,direction not stated in the retrievable record,,,
10024802,1999,Kyobu Geka,[Completion pneumonectomy combined with graft replacement of thoracic aortic aneurysm by simple clamping].,case_report,ipf_only,True,False,False,,,T3,non-randomised human evidence,True,not applicable,,natural_product_trials_broad,Case Reports|English Abstract|Journal Article,False,direction not stated in the retrievable record,,,
10589572,1999,J Comput Assist Tomogr,Thin-section CT findings in rheumatoid arthritis-associated lung disease: CT patterns and their courses.,non_randomised_human,mixed_or_other,False,False,False,19.0,108 months,T3,non-randomised human evidence,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
40845949,2026,J Nutr Biochem,Resveratrol improves idiopathic pulmonary fibrosis by targeting IKZF3.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,authors report at least one statistically significant benefit,,,
41456499,2026,Int J Mol Med,Astragaloside IV: A multipotent phytochemical for treating fibrotic diseases (Review).,narrative_review_or_mechanistic,ipf_only,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article|Review,False,direction not stated in the retrievable record,,,
41755466,2026,Rev Med Virol,Viral Pathogens and Pulmonary Fibrosis: EMT-Driven Mechanisms and Insights From Traditional Chinese Medicine.,narrative_review_or_mechanistic,non_human_or_na,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article|Review,False,direction not stated in the retrievable record,,,
41756284,2026,Front Immunol,Yizong Tongluo formula attenuates idiopathic pulmonary fibrosis and inflammatory injury by inhibiting HIF-1α/LSH/SCD1-mediated ferroptosis.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,authors report at least one statistically significant benefit,,,
41759424,2026,Phytomedicine,Platycodin D alleviates idiopathic pulmonary fibrosis by targeting PPP2R1A and regulating the PP2A-mediated PI3K/Akt pathway to inhibit fibroblast transdifferentiation.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,direction not stated in the retrievable record,,,
41791618,2026,J Ethnopharmacol,Atractylenolide I alleviates bleomycin-induced idiopathic pulmonary fibrosis via regulating HIF-1α to suppress oxidative stress and endoplasmic reticulum stress.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,direction not stated in the retrievable record,,,
41796998,2026,Chem Biol Drug Des,Berberine Ameliorates Pulmonary Fibrosis via Downregulating the TGFBR2-Mediated Signaling.,preclinical,non_human_or_na,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
42074286,2026,Int J Mol Sci,From Local Tissue Repair to Fibrosis: Deciphering Gene Co-Expression Networks in Benign Pulmonary Nodules and Idiopathic Pulmonary Fibrosis Comorbidity via Bioinformatics,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
42094953,2026,Front Med (Lausanne),Beyond attenuation: a translational review of curative-intent pharmacological targets in idiopathic pulmonary fibrosis.,narrative_review_or_mechanistic,non_human_or_na,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article|Review,False,direction not stated in the retrievable record,,,
42240739,2026,Mol Biol Rep,Beyond scarring: a next-generation vision for pulmonary fibrosis management.,narrative_review_or_mechanistic,non_human_or_na,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article|Review,False,direction not stated in the retrievable record,,,
42265751,2026,Respir Res,Danthron prevents pulmonary fibrosis through improving mitochondrial function by upregulating carboxylesterase 3.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,direction not stated in the retrievable record,,,
42400038,2026,Respir Res,Identification and functional validation of lactylation-related hub genes in idiopathic pulmonary fibrosis based on multi-omics analysis.,preclinical,non_human_or_na,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
39424752,2025,Inflammation,Impact of Curcumin on the IL-17A-Mediated p53-Fibrinolytic System: Mouse Proteomics and Integrated Human Fibrosis scRNAseq Insights.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
39642567,2025,Int Immunopharmacol,Effect of ethyl acetate extract of the whole plant Clerodendrum phlomidis on improving bleomycin (BLM)-induced idiopathic pulmonary fibrosis (IPF) in Rats: In vitro and i,preclinical,ipf_only,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,ayurveda_other,Journal Article,False,authors report at least one statistically significant benefit,,,
39746273,2025,Int Immunopharmacol,Network Pharmacology-driven therapeutic interventions for Interstitial Lung Diseases using Traditional medicines: A Narrative Review.,narrative_review_or_mechanistic,non_human_or_na,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,ayurveda_other,Journal Article|Review,False,direction not stated in the retrievable record,,,
40286023,2025,Molecules,A Targeted Mass Spectrometric Approach to Evaluate the Anti-Inflammatory Activity of the Major Metabolites of Foeniculum vulgare Mill. Waste in Human Bronchial Epithelium,narrative_review_or_mechanistic,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
40354839,2025,J Ethnopharmacol,Baihe Gujin decoction attenuates idiopathic pulmonary fibrosis via regulating proline metabolism.,narrative_review_or_mechanistic,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,direction not stated in the retrievable record,,,
40451494,2025,J Ethnopharmacol,Qingfeiyin decoction in idiopathic pulmonary fibrosis:Lung-targeted components and PI3K-AKT modulation.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,direction not stated in the retrievable record,,,
40494202,2025,Int Immunopharmacol,Demethyleneberberine ameliorates pulmonary fibrosis by inhibiting the NLRP3 inflammasome and the epithelial-mesenchymal transition.,preclinical,ipf_only,False,False,False,10.0,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,direction not stated in the retrievable record,,,
40604645,2025,BMC Pulm Med,Machine learning-based integration identifies plasma cells-related gene signature ST6GAL1 in idiopathic pulmonary fibrosis.,preclinical,ipf_only,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
40697404,2025,Can Respir J,"Current Understanding of Pulmonary Fibrosis: Pathogenesis, Diagnosis, and Therapeutic Approaches.",narrative_review_or_mechanistic,non_human_or_na,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,"Journal Article|Review|Research Support, Non-U.S. Gov't",False,direction not stated in the retrievable record,,,
40869904,2025,Genes (Basel),Quercetin in Idiopathic Pulmonary Fibrosis and Its Comorbidities: Gene Regulatory Mechanisms and Therapeutic Implications.,narrative_review_or_mechanistic,non_human_or_na,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article|Review,False,direction not stated in the retrievable record,,,
40969882,2025,ACS Pharmacol Transl Sci,Optimized Synthetic Flavonols Support Senescence Clearance and Lung Fibrosis Resolution.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
41126823,2025,Front Immunol,Targeting senescent microglia in progressive multiple sclerosis: a geroscience-informed approach.,preclinical,ipf_only,True,False,False,,44 weeks,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
41192255,2025,Phytomedicine,Fei Wei formula attenuates pulmonary fibrosis by inhibiting lactate-driven endothelial mesenchymal transition via its target of HSP90ab1.,preclinical,ipf_only,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,direction not stated in the retrievable record,,,
41224967,2025,Sci Rep,Integrative analysis of the therapeutic mechanisms of Astragaloside IV in idiopathic pulmonary fibrosis via network pharmacology and molecular validation.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,authors report at least one statistically significant benefit,,,
41242507,2025,Respir Med,"Emerging molecular targets and natural therapeutics for idiopathic pulmonary fibrosis: Insights into mechanisms, risks, and COVID-19 links.",narrative_review_or_mechanistic,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,ayurveda_other|natural_product_trials_broad,Journal Article|Review,False,direction not stated in the retrievable record,,,
41516261,2025,Int J Mol Sci,Lathyrol Exerts Anti-Pulmonary Fibrosis Effects by Activating PPARγ to Inhibit the TGF-β/Smad Pathway.,preclinical,non_human_or_na,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,direction not stated in the retrievable record,,,
37880106,2024,Circ J,Potential Clinical Implications of Senotherapies for Cardiovascular Disease.,narrative_review_or_mechanistic,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
38166847,2024,J Nanobiotechnology,Traditional Chinese medicine inspired dual-drugs loaded inhalable nano-therapeutics alleviated idiopathic pulmonary fibrosis by targeting early inflammation and late fibr,preclinical,ipf_only,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,authors report at least one statistically significant benefit,,,
38228229,2024,J Ethnopharmacol,Leech extract alleviates idiopathic pulmonary fibrosis by TGF-β1/Smad3 signaling pathway.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,tcm_any,Journal Article,False,authors report at least one statistically significant benefit,,,
38256903,2024,Pharmaceuticals (Basel),Researching New Drug Combinations with Senolytic Activity Using Senescent Human Lung Fibroblasts MRC-5 Cell Line.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
38626519,2024,Biomed Pharmacother,Curcumin regulates pulmonary extracellular matrix remodeling and mitochondrial function to attenuate pulmonary fibrosis by regulating the miR-29a-3p/DNMT3A axis.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
38900587,2024,JCI Insight,Sanglifehrin A mitigates multiorgan fibrosis by targeting the collagen chaperone cyclophilin B.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,"Journal Article|Research Support, U.S. Gov't, Non-P.H.S.|Research Support, Non-U.S. Gov't|Research Support, N.I.H., Extramural",False,direction not stated in the retrievable record,,,
38986681,2024,Phytother Res,Flavonoids for treating pulmonary fibrosis: Present status and future prospects.,narrative_review_or_mechanistic,ipf_only,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article|Review,False,direction not stated in the retrievable record,,,
39000270,2024,Int J Mol Sci,"Addition of Polyphenols to Drugs: The Potential of Controlling ""Inflammaging"" and Fibrosis in Human Senescent Lung Fibroblasts In Vitro.",preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
39416822,2024,Heliyon,"Integrative analysis of the efficacy and pharmacological mechanism of Xuefu Zhuyu decoction in idiopathic pulmonary fibrosis via evidence-based medicine, bioinformatics, ",meta_analysis/SR,ipf_only,False,True,False,,,T4,outcome-ineligible per brief 4.1: no outcome mapping to a Phase 1 E-code,True,not applicable,,natural_product_trials_broad,Journal Article,False,direction not stated in the retrievable record,,,
39519378,2024,Int J Mol Sci,"Development and Evaluation of ABI-171, a New Fluoro-Catechin Derivative, for the Treatment of Idiopathic Pulmonary Fibrosis.",preclinical,ipf_only,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article,False,authors report at least one statistically significant benefit,,,
36945535,2023,bioRxiv,Sanglifehrin A mitigates multi-organ fibrosis in vivo by inducing secretion of the collagen chaperone cyclophilin B.,preclinical,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Preprint|Journal Article,False,direction not stated in the retrievable record,,,
37577522,2023,bioRxiv,A fibroblast-dependent TGFβ1/sFRP2 noncanonical Wnt signaling axis underlies epithelial metaplasia in idiopathic pulmonary fibrosis.,preclinical,non_human_or_na,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Preprint|Journal Article,False,direction not stated in the retrievable record,,,
38003600,2023,Int J Mol Sci,Cellular Senescence: A Troy Horse in Pulmonary Fibrosis.,narrative_review_or_mechanistic,non_human_or_na,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,Journal Article|Review,False,direction not stated in the retrievable record,,,
34999158,2022,Am J Kidney Dis,Antifibrotic Agents for the Management of CKD: A Review.,narrative_review_or_mechanistic,ipf_only,False,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,natural_product_trials_broad,"Journal Article|Review|Research Support, Non-U.S. Gov't",False,direction not stated in the retrievable record,,,
35268581,2022,Molecules,Natural Product-Based Potential Therapeutic Interventions of Pulmonary Fibrosis.,narrative_review_or_mechanistic,non_human_or_na,True,False,False,,,T4,non-human or non-primary evidence only; never graded on efficacy,True,not applicable,,ayurveda_other,Journal Article|Review,False,direction not stated in the retrievable record,,,
