cand_id,from_statement,subject,shape,outcome,screen_failed,reason,screen_definitions,promoted_to_lead
P24,M6.11,GSK3008348,(a) small positive randomised signal,rejected,S4,"Phase 1 only, with a phase 1b terminated at n=8 (results posted). The primary endpoints were safety and target engagement (C16); there is no clinical-outcome signal to follow up.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P25,M6.11,LTI-03,(a) small positive randomised signal,rejected,S3; S4,"Phase 1 primary endpoints were safety and tolerability (C16), and a phase 2 trial (NCT06968845, n=120) is recruiting. The question is already being answered by an appropriately designed trial.","already being answered - a registered ongoing trial addresses the same question | no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P26,M6.11,TRK-250,(a) small positive randomised signal,rejected,S4,"One phase 1 trial (n=34, results posted 2023) with a safety primary endpoint and no clinical outcome; no subsequent programme.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P27,M6.11,bexotegrast (PLN-74809),(a) small positive randomised signal,rejected,S2,"Superseded by its own trial (C23): the phase 2b BEACON-IPF was terminated on DSMB recommendation with excess disease-progression events and deaths on active treatment. The intervention moves to the harm register, not to a lead.","superseded - a later or larger result, or the programme's own posted result, replaces the signal",no
P28,M6.11,omipalisib,(a) small positive randomised signal,rejected,S4,A single mechanistic study with an FDG-PET uptake primary endpoint (C16); no clinical outcome and no subsequent programme.,"no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P29,M6.11,salbutamol,(a) small positive randomised signal,rejected,S4,"Randomised data address lung deposition and short-term physiology, not a clinical outcome (C16).","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P30,M6.11,sirolimus,(a) small positive randomised signal,rejected,S4,The trial's primary endpoint was not a clinical outcome and its own abstract states 'Lung function was unaffected by either treatment' (C16).,"no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P31,M6.11,valganciclovir,(a) small positive randomised signal,rejected,S4,"Randomised human data address a virological or safety endpoint, not a clinical IPF outcome (C16). The only recently posted valganciclovir result in the registry extract is a CMV-prophylaxis trial after lung transplantation, which is outside this record's scope.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P32,M6.11,palliative care,(a) small positive randomised signal,rejected,S4,"The randomised evidence addresses feasibility and process endpoints (C16). Palliative and supportive care is already recommended in IPF guidelines and graded in the map; the open question is implementation, not whether an effect exists to discover.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P33,M6.11,mesenchymal stem cells,(a) small positive randomised signal,rejected,S3; S4,"All completed IPF trials are phase 1 or 1/2 with safety primary endpoints and 8-24 participants (C16), and several early-phase trials are ongoing, including a phase 2 (NCT07131150, n=66). No clinical signal exists yet to promote.","already being answered - a registered ongoing trial addresses the same question | no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P34,M3.15,autoantibody reduction (plasma exchange + rituximab + IVIG) for acute exacerbations of IPF,(a) small positive randomised signal,held at verification - not promoted,S5; S3,"The signal is the largest single positive randomised result in the whole record: six-month survival 44% (SE 9, n=33) versus 7% (SE 6, n=18) in STRIVE-IPF (NCT03286556). It fails S5 because the only source is a registry posting with no statistical analysis, no baseline lung function or oxygen requirement, unequal arms drawn from 82 enrolled, no masking of any party, and no results publication - only a design paper (PMID 38509495). It also fails S3: NCT07299695 (phase 3 intravenous immunoglobulin in acute exacerbations, recruiting) and NCT07674745 (autoantibody reduction in progressive IPF, not yet recruiting) are registered and address the same question. Smallest next step is retrieval of the STRIVE-IPF analysis and publication (action A10), not a new trial.",verification incomplete - the key result could not be checked against primary full text | already being answered - a registered ongoing trial addresses the same question,no
P35,M3.17,sodium pyruvate nasal spray (N115) for IPF cough,(a) small positive randomised signal,held at verification - not promoted,S5,"NCT06037408 posts a -57.13 percentage-point between-arm difference in daily coughing episodes (p=0.0001) at a single site in 50 patients. It fails S5: there is no publication, the cough-measurement method is not described, outcomes-assessor masking is not stated, and the accompanying values (a 27.9% rise in the FEV1/FVC ratio over 21 days, zero adverse events in 50 IPF patients in both arms) cannot be reconciled with the known behaviour of the disease. Nothing in the posting can be checked against a primary report. Smallest next step is retrieval of a protocol, analysis plan and publication (action A11).",verification incomplete - the key result could not be checked against primary full text,no
P36,M3.16,"tanzisertib (CC-90001), oral JNK inhibitor",(d) abandoned rather than refuted,rejected,S4,"NCT03142191 (n=112 dosed) was stopped for a sponsor strategic decision, not for a result, and the published ppFVC differences favour active drug numerically: 1.1% (95% CI -2.1 to 4.3, p=0.50) at 200 mg and 2.2% (95% CI -1.1 to 5.4, p=0.19) at 400 mg (PMID 38484130). By the same rule applied to GLPG1205 at P5, a non-significant null contains no positive signal to retest; there is no ongoing IPF programme for the molecule. Recorded as Uncertain in the landscape rather than promoted.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P37,M3.16,LTP001,(a) unreplicated null that size or phase cannot make decisive,rejected,S4,"NCT05497284 (n=46, terminated by sponsor decision) is numerically worse on the primary FVC endpoint (-3.1 versus -1.1 % predicted; Bayesian slope -2.6, 95% credible interval -6.9 to 1.3). An underpowered null with an unfavourable direction contains no positive signal (rule as applied at P5).","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P38,M3.16,ianalumab (VAY736),(a) unreplicated null that size or phase cannot make decisive,rejected,S4,"NCT03287414 (n=30, terminated by sponsor decision) shows an FVC difference of 0.063 L (95% CI -0.115 to 0.241, p=0.3248). No positive signal; no ongoing IPF programme.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P39,M3.16,tipelukast (MN-001),(a) unreplicated null that size or phase cannot make decisive,rejected,S4,NCT02503657 (n=15) posts FVC change -0.177 L on MN-001 versus -0.025 L in the comparator arm with no between-arm analysis. Too small to contain an interpretable signal in either direction.,"no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P40,M3.16,belumosudil (KD025),(a) small positive randomised signal,rejected,S4,"NCT02688647 posts stable FVC on belumosudil (2608.2 to 2626.8 mL) against a decline on best supportive care (2516.7 to 2438.1 mL) at 24 weeks, but the trial is open-label with no blinding and no posted between-arm comparison, so the difference is not separable from the absence of a control condition. No clinical signal that survives the screen.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P41,M3.15,rituximab monotherapy in stable IPF,(a) unreplicated null that size or phase cannot make decisive,rejected,S4,"NCT01969409 (n=58, triple-masked) met a mechanistic autoantibody-titre primary endpoint and showed no benefit on FVC, survival or transplant-free survival, with 12 versus 6 hospital admissions and 9 of 30 versus 5 of 28 serious adverse events. No positive clinical signal; the combination-therapy question in acute exacerbations is carried separately at P34.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
