map_id,section,statement,subject,outcome_dimension,evidence_tier,evidence_tier_sublabel,sources,maps_to_unmet_need,caveat,provenance,phase4_status,phase6_status
M2.9,S2 What does not work,Pamrevlumab was null on 52-week FVC change in an adequately sized phase 3 trial (ZEPHYRUS-1) after a positive phase 2 result on the same endpoint.,pamrevlumab,change from baseline in percentage of predicted forced vital capacity (FVC) at week 48,Probable,phase 3 randomised null result (tier inherited from Phase 2),PMID 38762797,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
M2.10,S2 What does not work,"Ziritaxestat did not improve the annual rate of FVC decline in either of two phase 3 trials (ISABELA 1/2), which were terminated early on benefit-risk grounds.",ziritaxestat,rate of FVC decline (E1),Established,"Established (adequately powered phase 3 programme, negative) (tier inherited from Phase 2)",PMID 37159034,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
M2.11,S2 What does not work,Thrombomodulin alfa did not improve day-90 survival after acute exacerbation of IPF; survival was numerically lower than placebo (72.5% vs 89.2%).,ART-123,survival after acute exacerbation (E10/E11),Probable,"Probable (one randomised placebo-controlled trial, small, stopped for futility) (tier inherited from Phase 2)",PMID 31917621,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
M2.12,S2 What does not work,Prednisone + azathioprine + N-acetylcysteine caused excess death and hospitalisation in IPF and was withdrawn at interim analysis (PANTHER-IPF); it had been recommended practice before 2012.,triple therapy,mortality and hospitalisation (harm),Probable,randomised harm signal (tier inherited from Phase 2),PMID 22607134,UN3,Harm exceeded benefit; the corticosteroid row rests on observational data and is tiered Uncertain accordingly.,ipf_phase2_landscape.csv (verdict_class=Harm outweighs benefit); ipf_phase2_negative_results_register.csv,,
M2.13,S2 What does not work,"Warfarin anticoagulation increased death, hospitalisation and other events in IPF and the trial was stopped for harm.",warfarin,"composite outcome of time to death, hospitalization (nonbleeding, nonelective), or a 10% or greater absolute decline in ",Probable,randomised harm signal (tier inherited from Phase 2),PMID 22561965,UN3,Harm exceeded benefit; the corticosteroid row rests on observational data and is tiered Uncertain accordingly.,ipf_phase2_landscape.csv (verdict_class=Harm outweighs benefit); ipf_phase2_negative_results_register.csv,,
M2.14,S2 What does not work,Ambrisentan increased disease progression and respiratory hospitalisation in IPF and the trial was stopped early.,ambrisentan,"Time to disease progression (death, respiratory hospitalization, or categorical decrease in lung function)",Probable,randomised harm signal (tier inherited from Phase 2),PMID 23648946,UN3,Harm exceeded benefit; the corticosteroid row rests on observational data and is tiered Uncertain accordingly.,ipf_phase2_landscape.csv (verdict_class=Harm outweighs benefit); ipf_phase2_negative_results_register.csv,,
M2.15,S2 What does not work,Riociguat showed excess harm in IPF with suspected pulmonary hypertension and the trial was terminated.,riociguat,change in 6-min walking distance (6MWD),Probable,randomised harm signal (tier inherited from Phase 2),PMID 31416769,UN3,Harm exceeded benefit; the corticosteroid row rests on observational data and is tiered Uncertain accordingly.,ipf_phase2_landscape.csv (verdict_class=Harm outweighs benefit); ipf_phase2_negative_results_register.csv,,
M2.16,S2 What does not work,Carlumab (anti-CCL2) worsened the rate of FVC change in IPF and the trial was stopped.,carlumab,rate of percentage change in forced vital capacity (FVC),Probable,randomised harm signal (tier inherited from Phase 2),PMID 26493793,UN3,Harm exceeded benefit; the corticosteroid row rests on observational data and is tiered Uncertain accordingly.,ipf_phase2_landscape.csv (verdict_class=Harm outweighs benefit); ipf_phase2_negative_results_register.csv,,
M2.17,S2 What does not work,BG00011 (anti-alpha-v-beta-6) showed excess serious adverse events and worse outcomes in IPF and development stopped.,BG00011,FVC change from baseline,Probable,randomised harm signal (tier inherited from Phase 2),PMID 35771569,UN3,Harm exceeded benefit; the corticosteroid row rests on observational data and is tiered Uncertain accordingly.,ipf_phase2_landscape.csv (verdict_class=Harm outweighs benefit); ipf_phase2_negative_results_register.csv,,
M2.18,S2 What does not work,Cyclophosphamide added to glucocorticoids increased 3-month mortality in acute exacerbation of IPF (EXAFIP).,cyclophosphamide,3-month all-cause mortality,Probable,randomised harm signal (tier inherited from Phase 2),PMID 34506761,UN3,Harm exceeded benefit; the corticosteroid row rests on observational data and is tiered Uncertain accordingly.,ipf_phase2_landscape.csv (verdict_class=Harm outweighs benefit); ipf_phase2_negative_results_register.csv,,
M2.19,S2 What does not work,"Corticosteroid exposure is associated with excess mortality in IPF in pooled, predominantly observational data; no randomised monotherapy trial exists and confounding by indication cannot be excluded.",corticosteroid,overall mortality,Uncertain,pooled data predominantly observational; no randomised monotherapy trial retrieved (tier inherited from Phase 2),PMID 40277510,UN3,Harm exceeded benefit; the corticosteroid row rests on observational data and is tiered Uncertain accordingly.,ipf_phase2_landscape.csv (verdict_class=Harm outweighs benefit); ipf_phase2_negative_results_register.csv,,
M2.20,S2 What does not work,"48 development programmes in this record stopped before establishing a result. Their failure domain is the absence of an answer, not a negative answer: recruitment or operational failure (11), unknown reason (10), regulatory or commercial decision (9), safety or toxicity (7), stated futility (4) and trial design (3).",48 stopped programmes,not applicable - no result reached,Unknown,"Unknown (no result was established; classification is of the stated stopping reason, not of efficacy)",ipf_phase2_negative_results_register.csv,UN10,A programme that stopped without a result is not evidence of either efficacy or inefficacy. It must not be read as a positive signal.,ipf_phase2_negative_results_register.csv (failure_domain='development stopped before a result was established'),,
M3.1,S3 What is uncertain,"Eight investigational agents have a positive randomised signal in IPF that has not been tested at phase 3: AP01 (inhaled pirfenidone), BMS-986020, GSK3008348, LTI-03, TRK-250, bexotegrast, omipalisib and taladegib. Each rests on one small randomised trial.",AP01; BMS-986020; GSK3008348; LTI-03; TRK-250; bexotegrast; omipalisib; taladegib,mostly rate of FVC decline (E1) or biomarker endpoints,Uncertain,Uncertain (one small randomised trial each; below the size and duration at which IPF nulls become decisive) (tier inherited from Phase 2),PMID 36948586; PMID 30201408; PMID 32216814; PMID 42538332; PMID 37738329; PMID 38843105; PMID 30765508; PMID 41043447,"UN3, UN9",Uncertain means one direction is indicated but the evidence cannot carry the claim. It is not a weak positive.,ipf_phase2_landscape.csv (verdict_class=Uncertain),,
M3.2,S3 What is uncertain,"Deupirfenidone is positive on a 26-week FVC endpoint in one phase 2b trial (ELEVATE-IPF), including against an active pirfenidone arm; no phase 3 result exists.",deupirfenidone,rate of FVC decline (E1),Probable,"Probable (one randomised phase 2b trial, 26 weeks, Bayesian primary analysis) (tier inherited from Phase 2)",PMID 42085224,"UN3, UN7",Uncertain means one direction is indicated but the evidence cannot carry the claim. It is not a weak positive.,ipf_phase2_landscape.csv (verdict_class=Uncertain),,
M3.3,S3 What is uncertain,Admilparant's phase 2 IPF-cohort estimate has a confidence interval that includes zero; the statistically significant estimate comes from the separate progressive pulmonary fibrosis cohort of the same trial and is indirect evidence for IPF under scope limit L1.,admilparant (BMS-986278),rate of FVC decline (E1),Uncertain,Uncertain (IPF-cohort estimate not statistically significant; PPF-cohort result is indirect for IPF) (tier inherited from Phase 2),PMID 39393084,UN3,Uncertain means one direction is indicated but the evidence cannot carry the claim. It is not a weak positive.,ipf_phase2_landscape.csv (verdict_class=Uncertain),,
M3.4,S3 What is uncertain,Rentosertib (INS018_055) reported an exploratory FVC increase at its highest dose in a phase 2a trial whose primary endpoint was tolerability. The efficacy signal is not a tested hypothesis.,INS018_055,rate of FVC decline (E1) - exploratory,Hypothesis,"Hypothesis (primary endpoint was safety; efficacy exploratory, single dose group, n=18) (tier inherited from Phase 2)",PMID 40461817,UN3,Uncertain means one direction is indicated but the evidence cannot carry the claim. It is not a weak positive.,ipf_phase2_landscape.csv (verdict_class=Uncertain),,
M3.5,S3 What is uncertain,"Eight agents were null in IPF trials that were too small or too short for the null to be decisive: GLPG1205, azithromycin, cromolyn sodium (RVT-1601), etanercept, imatinib, inhaled carbon monoxide, macitentan and tralokinumab. These are unresolved, not refuted. Cromolyn sodium was removed from this statement in Phase 4: a phase 2b trial with a null primary cough endpoint exists (see M2.14).",GLPG1205; azithromycin; etanercept; imatinib; inhaled carbon monoxide; macitentan; tralokinumab,various; mostly FVC (E1) or progression composites,Uncertain,Uncertain (null but underpowered; distinguished from the Failed class by trial size and phase) (tier inherited from Phase 2),PMID 36328358; PMID 34015241; PMID 35050837; PMID 18669816; PMID 20007927; PMID 29100885; PMID 23682110; PMID 28787186,"UN3, UN9",Uncertain means one direction is indicated but the evidence cannot carry the claim. It is not a weak positive.,ipf_phase2_landscape.csv (verdict_class=Uncertain),amended in Phase 4 (C15),
M3.6,S3 What is uncertain,"Six repurposed approved drugs have IPF evidence that cannot carry a conclusion: omeprazole, salbutamol, sirolimus and valganciclovir have small positive randomised results; losartan has non-randomised evidence only; metformin has observational evidence that is null. Phase 4 correction: for salbutamol, sirolimus, valganciclovir and omipalisib the trial's primary endpoint was not a clinical outcome, and the omeprazole cough interval includes no effect while lung-function differences in the same trial favour placebo.",omeprazole; salbutamol; sirolimus; valganciclovir; losartan; metformin,various,Uncertain,Uncertain (small randomised or observational evidence; no adequately sized randomised test) (tier inherited from Phase 2),PMID 30610155; PMID 29409488; PMID 36853800; PMID 33740394; PMID 22810758; PMID 30025392,"UN3, UN11",Uncertain means one direction is indicated but the evidence cannot carry the claim. It is not a weak positive.,ipf_phase2_landscape.csv (verdict_class=Uncertain),"amended in Phase 4 (C16, C17)",
M3.7,S3 What is uncertain,"Cell therapies and blood-derived biologics in IPF rest on non-randomised or very small randomised human evidence: mesenchymal stem cells, RegenD001, IW001, PBI-4050 and intravenous immunoglobulin.",mesenchymal stem cells; RegenD001; IW001; PBI-4050; intravenous immunoglobulin,safety and FVC (E1),Uncertain,Uncertain (predominantly single-arm or open-label evidence; no controlled efficacy test) (tier inherited from Phase 2),PMID 27890713; PMID 40036154; PMID 25614165; PMID 30578394; PMID 42164489,UN3,Uncertain means one direction is indicated but the evidence cannot carry the claim. It is not a weak positive.,ipf_phase2_landscape.csv (verdict_class=Uncertain),,
M3.8,S3 What is uncertain,"Symptomatic and supportive interventions other than nalbuphine and rehabilitation are unresolved: low-dose morphine and thalidomide each rest on one very small short crossover trial in cough; supplemental oxygen shows acute exercise benefit without long-term IPF-specific evidence; palliative care, CPAP, neuromuscular electrical stimulation and inspiratory muscle training have small or indirect evidence.",morphine; thalidomide; oxygen; palliative care; continuous positive airway pressure; neuromuscular electrical stimulation; inspiratory muscle training,"symptoms (E8, E9), functional capacity (E5), HRQoL (E6)",Uncertain,"Uncertain (small, short, or ILD-wide rather than IPF-exclusive evidence) (tier inherited from Phase 2)",PMID 38237620; PMID 22986377; PMID 32367694; PMID 34003726; PMID 25028171; PMID 34083348; PMID 39129185,"UN4, UN5, UN12",Uncertain means one direction is indicated but the evidence cannot carry the claim. It is not a weak positive.,ipf_phase2_landscape.csv (verdict_class=Uncertain),,
M3.9,S3 What is uncertain,"Seven named traditional-medicine interventions have randomised IPF-only trials that pass the prespecified screen (Jinbei oral liquid, Kangxian Huanji Granule, Qizhukangxian granules, Feiwei granules, umbilical moxibustion, Pulmonary Daoyin, Baduanjin exercise), and pooled syntheses of Chinese herbal medicine report benefit. Every such row is capped at Uncertain because risk of bias was only assessable from abstracts, samples are small, follow-up is short, and Chinese-language databases were not searched. Feiwei granules is author-reported null.",Jinbei oral liquid (12-herb TCM compound); Kangxian Huanji Granule; Qizhukangxian granules; Feiwei granules; umbilical moxibustion; Pulmonary Daoyin (TCM rehabilitation programme); Baduanjin exercise; Chinese herbal medicine,"lung function, symptoms, exercise capacity - varies by trial",Uncertain,"Uncertain (capped by Phase 2 brief section 4.3; counts are a floor, not a complete accounting) (tier inherited from Phase 2)",PMID 39849152; PMID 37993378; PMID 32744035; PMID 28459237; PMID 30942008; PMID 33164264; PMID 41184899; PMID 37235494,UN12,Uncertain means one direction is indicated but the evidence cannot carry the claim. It is not a weak positive.,ipf_phase2_landscape.csv (verdict_class=Uncertain),,
M3.10,S3 What is uncertain,"Sildenafil is the one intervention in this record whose randomised IPF-only evidence points in two directions, with one positive and one null trial and no basis in the record for preferring either.",sildenafil,"exercise capacity, symptoms",Uncertain,Uncertain (conflicting: two credible randomised sources disagree; the record declines to pick),PMID 35452834,"UN3, UN11",Conflicting is distinct from Uncertain: two credible bodies of evidence point opposite ways.,ipf_phase2_landscape.csv (verdict_class=Conflicting); ipf_phase2_conflicts_register.csv X4,superseded in Phase 4 (C14) - see M2.13,
M3.11,S3 What is uncertain,"Every 'works' verdict for a disease-directed drug in this record rests on FVC or a categorical FVC-based composite. Whether a treatment-induced change in FVC decline translates into longer survival is unresolved, and the record forbids grading a lung-function result on the survival dimension.",FVC as a surrogate for mortality,see conflicts register,Uncertain,Uncertain (endpoint-level; carried unresolved from Phase 1),Phase 1 ceiling table; PMID 34217681; PMID 28232409,"UN3, UN8",Preserved as a disagreement; the record does not resolve it.,ipf_phase2_conflicts_register.csv X5,,
M3.12,S3 What is uncertain,"Whether corticosteroids increase mortality in IPF, and by how much, cannot be settled from the available evidence class: the excess-mortality signal comes from pooled predominantly observational data where confounding by indication cannot be excluded, and no randomised monotherapy trial exists.",corticosteroid monotherapy,see conflicts register,Uncertain,Uncertain (evidence-class disagreement; harm verdict retained at a lower tier),PMID 40277510; PMID 22607134,UN3,Preserved as a disagreement; the record does not resolve it.,ipf_phase2_conflicts_register.csv X6,,
M3.13,S3 What is uncertain,Whether a genotype- or telomere-defined subgroup responds differently to N-acetylcysteine is unresolved. The PANTHER monotherapy arm was null overall; the subgroup findings are post hoc and do not lift that verdict.,N-acetylcysteine subgroup hypothesis,see conflicts register,Hypothesis,Hypothesis (post hoc subgroup; overall randomised result null),PMID 24836309; PMID 30566847; NCT04300920,UN11,Preserved as a disagreement; the record does not resolve it.,ipf_phase2_conflicts_register.csv X7,,
M3.14,S3 What is uncertain,Whether co-trimoxazole has any effect in a treatment-adherent subgroup is unresolved: the trial's per-protocol analysis disagreed with its null intention-to-treat result.,co-trimoxazole,see conflicts register,Uncertain,Uncertain (per-protocol vs intention-to-treat disagreement within one trial),see key_result_pmid 23143842 and conflict_note,UN11,Preserved as a disagreement; the record does not resolve it.,ipf_phase2_conflicts_register.csv X1,,
M4.1,S4 What we know about the disease,"IPF is a progressive fibrosing interstitial pneumonia of unknown cause, defined by a usual interstitial pneumonia pattern.",disease definition,not applicable,Established,Established (current international guideline),"2022 ATS/ERS/JRS/ALAT guideline, PMID 35486072",UN8,Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M4.2,S4 What we know about the disease,"Pooled global incidence is 5.8 per 100,000 (95% CI 4.8-6.8) and prevalence 17.7 per 100,000 (95% CI 14.0-21.5), with regional variation (North America 27.2, Europe 14.6, Asia 14.8).",epidemiology,not applicable,Established,Established (systematic review and meta-analysis of 23 incidence and 20 prevalence studies),PMID 40775309,UN9,Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M4.3,S4 What we know about the disease,"Registry cumulative mortality is 5%, 24%, 37% and 44% at years 1-4, and GAP stage III carries a hazard ratio of 4.64 versus stage I.",natural history and prognosis,survival (E11),Established,Established (prospective national registry),"AIPFR, PMID 28232409","UN3, UN9",Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M4.4,S4 What we know about the disease,"Trial populations are not the disease population: 1- and 2-year mortality in modern trial cohorts (6.6%, 13.7%) is far below registry mortality (5%, 24%), which is why mortality endpoints are hard to power and why the randomised evidence base is concentrated in mild-to-moderate physiologic impairment.",evidence-base composition,survival (E11),Established,Established (trial cohort vs registry comparison),PMID 24476390; PMID 28232409,"UN9, UN3",Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M4.5,S4 What we know about the disease,The frequently quoted median survival of about four years predates antifibrotic therapy (1998 data) and must not be presented as current prognosis.,dating of prognostic figures,survival (E11),Established,Established (era-specific; flagged under scope limit L6),PMID 9713446,UN3,Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M4.6,S4 What we know about the disease,Acute exacerbation occurs in 18.6% of patients over three years and carries about 29.5% in-hospital mortality; no intervention in this record prevents or treats it with adequately powered randomised evidence.,acute exacerbation,acute exacerbation (E10),Established,Established for the epidemiology; the treatment gap is a separate statement (UN6),PMID 39256473; PMID 35614114,UN6,Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M4.7,S4 What we know about the disease,Comorbidity drives outcome: pulmonary hypertension carries a mortality hazard ratio of 2.0 and lung cancer 2.6.,comorbidity,survival (E11),Established,Established (multinational registry),"EMPIRE registry, PMID 30170904",UN9,Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M4.8,S4 What we know about the disease,The best documented effect on the rate of FVC decline is a 130.1 mL 52-week between-group difference; the least-declining active arm in any IPF trial still declined (-21.5 mL over 26 weeks). No trial has documented recovery of lost lung function.,"therapeutic ceiling, lung function","rate of FVC decline (E1), recovery (E15)",Established,Established (phase 3 and phase 2b randomised trials; ceiling table),ipf_phase1_ceiling.csv,"UN1, UN7",Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M4.9,S4 What we know about the disease,"Antifibrotic therapy is associated with a pooled acute-exacerbation risk ratio of 0.63 (95% CI 0.53-0.76, I2=0%), but the pooled sources are predominantly observational.",acute exacerbation under treatment,acute exacerbation (E10),Uncertain,Uncertain (meta-analysis of predominantly observational data),PMID 34217681,UN6,Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M4.10,S4 What we know about the disease,Two interventions are conditionally recommended against for treating IPF by the current guideline: antacid medication and antireflux surgery.,guideline-negative interventions,disease course,Established,Established (2022 guideline conditional recommendations against),PMID 35486072,UN8,Disease-level facts; they do not license any treatment claim.,IPF_phase1_disease_evidence_baseline.md; ipf_phase1_ceiling.csv,,
M5.1,S5 What we do not know,No intervention has been shown to recover lost lung function in IPF.,recovery of lost function,recovery (E15),Unknown,Unknown (no human trial has demonstrated it; the best result is slower decline),ipf_phase1_ceiling.csv,UN1,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M5.2,S5 What we do not know,"Reversal of established fibrosis has never been demonstrated in IPF, and no human trial endpoint in this record measures it.",reversal,reversal (E15),Unknown,Unknown (endpoint does not exist in the trial record; not merely unproven),ipf_phase1_ceiling.csv; ipf_phase1_endpoint_taxonomy.csv,UN2,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M5.3,S5 What we do not know,"No drug has randomised evidence of prolonging survival in IPF. The only survival evidence in this record is observational, for lung transplantation.",survival,survival (E11),Unknown,Unknown (no randomised mortality benefit; mortality endpoints under-powered in trial populations),ipf_phase1_ceiling.csv; ipf_phase2_landscape.csv,UN3,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M5.4,S5 What we do not know,Durability of antifibrotic effect beyond 52 weeks has never been established randomly; open-label extensions are not randomised comparisons.,durability,durability (E12),Unknown,Unknown (no randomised follow-up beyond 52 weeks),ipf_phase1_ceiling.csv,UN7,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M5.5,S5 What we do not know,No validated predictive biomarker identifies which patient benefits from which treatment in IPF; treatment-response heterogeneity is unexplained.,predictive biomarkers,treatment-response heterogeneity,Unknown,Unknown (no validated predictive marker retrieved; existing subgroup findings are post hoc),ipf_phase2_conflicts_register.csv X7; ipf_phase1_unmet_needs.csv UN11,UN11,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
