intervention,verdict_class,failure_domain,abandoned_reason,evidence_tier,evidence_tier_sublabel,max_phase,registry_trials,trials_with_posted_results,statuses,key_result_pmid,key_result_verbatim,metric,duration_weeks,endpoint_dimension,termination_reasons,conflict_note,why,curated,curation_note
carlumab,Harm outweighs benefit,harm exceeded benefit,not_applicable,Probable,randomised harm signal,PHASE2,1.0,0.0,COMPLETED,26493793.0,"All active treatment groups showed a greater decline in FVC (1 mg·kg(-1) -290 mL, 5 mg·kg(-1) -370 mL and 15 mg·kg(-1) -320 mL) compared with placebo (-130 mL).",rate of percentage change in forced vital capacity (FVC),52.0,rate of percentage change in forced vital capacity (FVC),,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 1 harm.",False,
corticosteroid,Harm outweighs benefit,harm exceeded benefit,recruitment_or_operational,Uncertain,pooled data predominantly observational; no randomised monotherapy trial retrieved,PHASE3,7.0,0.0,COMPLETED|RECRUITING|TERMINATED|UNKNOWN|WITHDRAWN,40277510.0,"Steroid treatment poses a higher risk, as suggested by the summary measures (RR of 1.78; CI 1.29-2.76, p = 0.00001).",overall mortality,,overall mortality,Not meeting recruitment targets,,"35 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 1 null, 1 harm.",True,"Tier downgraded from Probable: the pooled RR 1.78 (PMID 40277510) rests mainly on observational sources, and the strongest randomised harm evidence is for the triple-therapy combination, graded as its own entity."
cyclophosphamide,Harm outweighs benefit,harm exceeded benefit,not_applicable,Probable,randomised harm signal,PHASE3,2.0,0.0,COMPLETED,34506761.0,The 3-month all-cause mortality was 45% (27/60) in patients given cyclophosphamide compared with 31% (18/59) in the placebo group (difference 14·5% [95% CI -3·1 to 31·6]; p=0·10).,3-month all-cause mortality,12.0,3-month all-cause mortality,,,"9 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 1 harm.",False,
riociguat,Harm outweighs benefit,harm exceeded benefit,safety_toxicity,Probable,randomised harm signal,PHASE2,1.0,1.0,TERMINATED,31416769.0,Riociguat did not improve 6MWD versus placebo at 26 weeks (least-squares mean difference 21 m; 95% CI -9 to 52).,change in 6-min walking distance (6MWD),26.0,change in 6-min walking distance (6MWD),"Study terminated per recommendation of iDMC. On iDMC request, protocol amended to include 4-month safety follow-up for patients after withdrawal of riociguat.",,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 1 harm.",False,
triple therapy,Harm outweighs benefit,harm exceeded benefit,safety_toxicity,Probable,randomised harm signal,none (literature-only),0.0,0.0,,22607134.0,"patients in the combination-therapy group, as compared with the placebo group, had an increased rate of death (8 vs. 1, P=0.01) and hospitalization (23 vs. 7, P<0.001).",change in FVC over 60 weeks (arm stopped at interim),32.0,mortality and hospitalisation (harm),,,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",True,"Combination entity per brief section 1: prednisone + azathioprine + N-acetylcysteine, cross-referenced to its three components. Engine had attributed only a network meta-analysis to it. Key result is the PANTHER-IPF interim (PMID 22607134)."
warfarin,Harm outweighs benefit,harm exceeded benefit,safety_toxicity,Probable,randomised harm signal,PHASE3,1.0,1.0,TERMINATED,22561965.0,"Due to a low probability of benefit and an increase in mortality observed in the subjects randomized to warfarin (14 warfarin versus 3 placebo deaths; P = 0.005) an independent Data and Safety Monitoring Board recommended stopping the study after 145 of the planned 256 subjects were enrolled (72 warfarin, 73 placebo).","composite outcome of time to death, hospitalization (nonbleeding, nonelective), or a 10% or greater absolute decline in FVC",28.0,"composite outcome of time to death, hospitalization (nonbleeding, nonelective), or a 10% or greater absolute decline in ",Excess of mortality in the treatment group created safety concerns.,,"7 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 1 harm.",False,
AMB-05X,"Programme stopped, result not established",development stopped before a result was established,unknown,Unknown,registry-only,PHASE2,1.0,0.0,WITHDRAWN,,,,,,to focus resources on other studies,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
AZD5055,"Programme stopped, result not established",development stopped before a result was established,trial_design,Unknown,registry-only,PHASE1,2.0,0.0,COMPLETED|TERMINATED,,,,,,The study was terminated as no drug-drug interactions were observed in Part-A of the study and therefore Part-B of the study was not required as per protocol.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
BI 1839100,"Programme stopped, result not established",development stopped before a result was established,regulatory_or_commercial,Unknown,registry-only,PHASE2,1.0,0.0,TERMINATED,,,,,,Sponsor decision,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
BLD-2660,"Programme stopped, result not established",development stopped before a result was established,safety_toxicity,Unknown,registry-only,PHASE2,1.0,0.0,WITHDRAWN,,,,,,Withdrawn due to concerns for patient safety during COVID-19 crisis,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
GSK2634673F,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Unknown,registry-only,PHASE1,1.0,0.0,TERMINATED,,,,,,The study was terminated due to challenges recruiting subjects with fibrotic interstitial lung disease associated with a connective tissue disease for Part D,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
GSK3008348,"Programme stopped, result not established",development stopped before a result was established,unknown,Uncertain,early-phase or single randomised source,PHASE1,2.0,1.0,COMPLETED|TERMINATED,32216814.0,Adjusted posterior median reduction in uncorrected VT at ~ 30 min after GSK3008348 inhalation was 20% (95% CrI: - 9 to 42%).,"whole lung volume of distribution (VT), not corrected for air volume, at ~30 min post-dose compared with pre-dose",4.3,"whole lung volume of distribution (VT), not corrected for air volume, at ~30 min post-dose compared with pre-dose",Sufficient information was gathered from cohort 1 to terminate the study without proceeding to optional cohort 2.,,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 0 null, 0 harm.",False,
GSK3915393,"Programme stopped, result not established",development stopped before a result was established,lack_of_efficacy,Unknown,registry-only,PHASE2,2.0,0.0,COMPLETED|TERMINATED,,,,,,"The study met futility criteria at pre-planned interim analysis, showing no clinical efficacy of the investigational drug. Based on the lack of efficacy at the interim data review, the sponsor decided to terminate the study.",,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
HZN-825,"Programme stopped, result not established",development stopped before a result was established,unknown,Unknown,registry-only,PHASE2,1.0,1.0,TERMINATED,,,,,,The trial was terminated due to not meeting primary or key secondary endpoints.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
IDL-2965 oral,"Programme stopped, result not established",development stopped before a result was established,unknown,Unknown,registry-only,PHASE1,1.0,0.0,TERMINATED,,,,,,Due to development challenges associated with the SARS-CoV-2 pandemic and emerging nonclinical data,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
LTP001,"Programme stopped, result not established",development stopped before a result was established,regulatory_or_commercial,Unknown,registry-only,PHASE2,1.0,1.0,TERMINATED,,,,,,Sponsor Decision,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
ORIN1001,"Programme stopped, result not established",development stopped before a result was established,unknown,Unknown,registry-only,PHASE1,1.0,0.0,SUSPENDED,,,,,,Partnership activities ongoing,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
QAX576,"Programme stopped, result not established",development stopped before a result was established,not_applicable,Unknown,registry-only,PHASE2,2.0,0.0,COMPLETED|TERMINATED,,,,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
SM04646,"Programme stopped, result not established",development stopped before a result was established,regulatory_or_commercial,Unknown,registry-only,PHASE2,1.0,0.0,WITHDRAWN,,,,,,Study withdrawn for business reasons prior to screening or enrolling any subjects.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
TD-1058,"Programme stopped, result not established",development stopped before a result was established,safety_toxicity,Unknown,registry-only,PHASE1,1.0,0.0,TERMINATED,,,,,,The Sponsor has decided to stop the study due to business reasons. Study was terminated before initiation of part C and D (Decision to not proceed with Parts C and D was not for safety reasons and do not impact the overall risk benefit of the IMP.),,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
azathioprine,"Programme stopped, result not established",development stopped before a result was established,trial_design,Unknown,attribution not separable,PHASE3,1.0,0.0,TERMINATED,30566847.0,"In PANTHER-IPF, exposure to prednisone/azathioprine/N-acetylcysteine was associated with a higher composite endpoint of death, lung transplantation, hospitalization, or FVC decline for those with an LTL less than the 10th percentile (hazard ratio, 2.84; 95% confidence interval, 1.02-7.87; P = 0.045).","composite endpoint of death, lung transplantation, hospitalization, or FVC decline",,"composite endpoint of death, lung transplantation, hospitalization, or FVC decline",Study design changes were needed based on GIPF-001 results,,"13 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,
azithromycin,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Uncertain,underpowered null,PHASE2,3.0,0.0,COMPLETED|RECRUITING|TERMINATED,34015241.0,There was no significant change in the LCQ score or the VAS score with azithromycin or with placebo.,change in cough-related quality of life as measured by the Leicester Cough Questionnaire (LCQ),12.0,change in cough-related quality of life as measured by the Leicester Cough Questionnaire (LCQ),Not meeting recruitment targets,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",False,
bexotegrast,Harm outweighs benefit,harm exceeded benefit,safety_or_toxicity,Probable,early-phase or single randomised source,PHASE2,4.0,4.0,COMPLETED|TERMINATED,,"In BEACON-IPF (NCT06097260, n=319 randomised), terminated on DSMB recommendation, registry-posted results show more disease-progression events on bexotegrast than placebo: 5 of 106 (placebo), 16 of 105 (160 mg) and 25 of 108 (320 mg); Cox hazard ratios versus placebo 3.31 (95% CI 1.21-9.05, p=0.0194) and 5.36 (95% CI 2.05-13.99, p=0.0006). A >=10% absolute FVC decline was also more frequent (odds ratio 3.33, 95% CI 1.03-10.81, p=0.0449 for 160 mg; 3.01, 95% CI 0.91-9.91, p=0.07 for 320 mg). Deaths: 0 of 106, 6 of 105 and 4 of 108; serious adverse events 6, 17 and 21. The week-52 FVC primary endpoint is uninformative because only 1, 1 and 2 participants reached week 52 after early termination.",incidence of treatment-emergent adverse events (TEAEs),12.0,incidence of treatment-emergent adverse events (TEAEs),DSMB recommendation,,"PHASE4 CORRECTION (C23): reclassified on registry-posted results of the terminated phase 2b trial NCT06097260 (DSMB recommendation), which show excess disease progression and deaths on active treatment.",False,
budesonide/formoterol,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Unknown,registry-only,PHASE2,1.0,0.0,TERMINATED,,,,,,Not meeting recruitment targets,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
co-trimoxazole or doxycycline,"Programme stopped, result not established",development stopped before a result was established,lack_of_efficacy,Unknown,registry-only,PHASE3,1.0,1.0,TERMINATED,,,,,,Terminated for futility after review of first planned interim analysis.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
continuous positive airway pressure,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Uncertain,observational or uncontrolled only,NA/none,2.0,0.0,COMPLETED|TERMINATED,25028171.0,The good CPAP compliance group (37 patients) showed statistically significant improvement in all quality-of-life and sleep instruments after 1 year's CPAP treatment.,quality-of-life and sleep parameters; mortality,104.0,quality-of-life and sleep parameters; mortality,Lack of enrollment,,"3 human studies attributed; strongest observational_cohort; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,
"corticosteroids, plasma exchange, and rituximab","Programme stopped, result not established",development stopped before a result was established,not_applicable,Unknown,registry-only,PHASE2,1.0,0.0,WITHDRAWN,,,,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
cromolyn sodium (RVT-1601),"Programme stopped, result not established",no benefit on the trial's own primary endpoint,not_applicable,Uncertain,underpowered null,PHASE2,2.0,0.0,TERMINATED,35050837.0,did not provide benefit over placebo for the treatment of chronic cough in patients with IPF,change from baseline to end of treatment in log-transformed 24-hour cough count,12.0,change from baseline to end of treatment in log-transformed 24-hour cough count,COVID-19 Pandemic; Difficulty recruiting; Funding ended; interim analysis provided sufficient data for interpretation.,,"PHASE4 CORRECTION (C15): reclassified from 'development stopped before a result' - a phase 2b dose-ranging trial reported a null primary cough result, superseding an earlier positive phase 2a trial (PMID 28923239).",False,
ianalumab (VAY736),"Programme stopped, result not established",development stopped before a result was established,regulatory_or_commercial,Unknown,registry-only,PHASE2,1.0,1.0,TERMINATED,,,,,,Sponsor decision,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
inhaled treprostinil,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Probable,"randomised, endpoint-specific",PHASE3,6.0,2.0,COMPLETED|ENROLLING_BY_INVITATION|TERMINATED,41812190.0,"The median change in FVC at week 52 was -49.9 ml (95% confidence interval [CI], -79.2 to -19.5) in the treprostinil group and -136.4 ml (95% CI, -172.5 to -104.0) in the placebo group; the between-group difference in the change in FVC was 95.6 ml (95% CI, 52.2 to 139.0; P<0.001).",change from baseline in absolute forced vital capacity (FVC) at week 52,52.0,change from baseline in absolute forced vital capacity (FVC) at week 52,Lack of enrollment to the trial. Very difficult population to recruit.,,"3 human studies attributed; strongest rct; IPF-only monotherapy randomised: 2 positive, 0 null, 0 harm.",False,
interferon alpha,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Unknown,registry-only,PHASE2,1.0,0.0,TERMINATED,,,,,,Insufficient patient accrual,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
leramistat,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Unknown,registry-only,PHASE2,1.0,0.0,WITHDRAWN,,,,,,Due to slow initial recruitment and a lack of confidence in our ability to complete recruitment within the forecasted timeframe.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
losartan,"Programme stopped, result not established",development stopped before a result was established,regulatory_or_commercial,Uncertain,observational or uncontrolled only,PHASE2|3,2.0,2.0,COMPLETED|TERMINATED,22810758.0,Twelve patients had a stable or improved %FVC at study month 12.,change in percentage of predicted forced vital capacity (%FVC) after 12 months,52.0,change in percentage of predicted forced vital capacity (%FVC) after 12 months,Funding was withdrawn.,,"1 human studies attributed; strongest non_randomised_trial; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,
macitentan,"Programme stopped, result not established",development stopped before a result was established,trial_design,Uncertain,underpowered null,PHASE2,2.0,1.0,COMPLETED|WITHDRAWN,23682110.0,The median change from baseline up to month 12 in forced vital capacity was -0.20 L in the macitentan arm and -0.20 L in the placebo arm.,forced vital capacity change from baseline to month 12,52.0,forced vital capacity change from baseline to month 12,Due to Protocol AC-055B201 (MUSIC) not meeting it's primary end point,,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",False,
mesenchymal stem cells,"Programme stopped, result not established",development stopped before a result was established,unknown,Uncertain,early-phase or single randomised source,PHASE1|2,7.0,1.0,COMPLETED|TERMINATED|UNKNOWN,27890713.0,No treatment-emergent serious adverse events were reported.,"incidence of treatment-emergent serious adverse events (death, nonfatal pulmonary embolism, stroke, hospitalization for worsening dyspnea, clinically significan",60.0,"incidence of treatment-emergent serious adverse events (death, nonfatal pulmonary embolism, stroke, hospitalization for ",Study completed,,"3 human studies attributed; strongest rct; IPF-only monotherapy randomised: 2 positive, 0 null, 0 harm.",False,
montelukast,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Unknown,registry-only,PHASE2,1.0,0.0,TERMINATED,,,,,,Not meeting recruitment targets,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
multidisciplinary rehabilitation and education program,"Programme stopped, result not established",development stopped before a result was established,lack_of_efficacy,Unknown,registry-only,NA/none,1.0,0.0,TERMINATED,,,,,,Study considered futile,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
nintedanib,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Probable,"randomised, endpoint-specific",PHASE4,25.0,24.0,COMPLETED|NOT_YET_RECRUITING|RECRUITING|TERMINATED,24836310.0,"The adjusted annual rate of change in FVC was -114.7 ml with nintedanib versus -239.9 ml with placebo (difference, 125.3 ml; 95% confidence interval [CI], 77.7 to 172.8; P<0.001) in INPULSIS-1 and -113.6 ml with nintedanib versus -207.3 ml with placebo (difference, 93.7 ml; 95% CI, 44.8 to 142.7; P<0.001) in INPULSIS-2.",annual rate of decline in forced vital capacity (FVC),52.0,annual rate of decline in forced vital capacity (FVC),Low enrollment; The study was terminated as no drug-drug interactions were observed in Part-A of the study and therefore Part-B of the study was not required as per protocol.; The trial was terminated prematurely due to difficulties with recruitment because of the COVID-19 pandemic.,,"38 human studies attributed; strongest rct; IPF-only monotherapy randomised: 4 positive, 0 null, 0 harm.",False,
physiotherapy,"Programme stopped, result not established",development stopped before a result was established,not_applicable,Unknown,registry-only,NA/none,1.0,0.0,TERMINATED,,,,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
placebo then n-acetylcysteine,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Unknown,registry-only,PHASE1|2,1.0,0.0,WITHDRAWN,,,,,,The study encountered challenges during startup due to the COVID-19 epidemic and was withdrawn.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
pomalidomide,"Programme stopped, result not established",development stopped before a result was established,safety_toxicity,Unknown,registry-only,PHASE2,1.0,0.0,WITHDRAWN,,,,,,FDA did not accept sponsor's animal toxicology data to support proposed dosing.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
pulmonary rehabilitation / exercise training,"Programme stopped, result not established",development stopped before a result was established,recruitment_or_operational,Probable,multiple concordant small randomised trials; durability beyond ~6 months not established,PHASE4,22.0,3.0,ACTIVE_NOT_RECRUITING|COMPLETED|RECRUITING|TERMINATED|UNKNOWN,33164264.0,"6MWD increased by 60.44 m in the PD group, 32.16 m in the exercise group and 12.42 m in controls after the 2 months of rehabilitation programme.",6-minute walk distance (6MWD) and health-related quality of life (SGRQ-I score) at 2 months and 6 months,26.0,functional capacity (E13) and symptoms/HRQoL (E11),PhD Student stopped working on this project; The trial was terminated prematurely due to difficulties with recruitment because of the COVID-19 pandemic.,,"30 human studies attributed; strongest rct; IPF-only monotherapy randomised: 8 positive, 0 null, 0 harm.",True,"Registry phase labels do not apply to a non-pharmacological intervention, so the engine's 'phase 3' justification was replaced. Trials are small (n=57-96) and mostly single-centre; effects are measured at 2-3 months and are not shown to persist. One abstract (PMID 34003726, nurse-led palliative care) was attributed here by the word 'programme' and is not counted as rehabilitation evidence."
sildenafil,"Programme stopped, result not established",no benefit on the trial's own primary endpoint,not_applicable,Uncertain,conflicting randomised evidence,PHASE4,9.0,5.0,COMPLETED|TERMINATED|UNKNOWN|WITHDRAWN,32822614.0,between-group difference 3·06% [95% CI -11·30 to 17·97]; p=0·65,mortality; FVC change; DLCO change; hospitalizations; acute exacerbations; adverse drug effects leading to discontinuation,,mortality; FVC change; DLCO change; hospitalizations; acute exacerbations; adverse drug effects leading to discontinuati,Funding was withdrawn.; inclusion/exclusion criteria limited enrollment,1 positive vs 1 null randomised IPF-only sources,PHASE4 CORRECTION (C14): reclassified from 'development stopped before a result' - three randomised trials are null in the overall IPF population and the subgroup hypothesis was not supported when tested.,False,
sildenafil and losartan,"Programme stopped, result not established",development stopped before a result was established,regulatory_or_commercial,Unknown,registry-only,PHASE2|3,1.0,1.0,TERMINATED,,,,,,Funding was withdrawn.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
simeox,"Programme stopped, result not established",development stopped before a result was established,not_applicable,Unknown,registry-only,NA/none,1.0,0.0,TERMINATED,,,,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
